novel,neighbour,strength
BagOfBones,BlackHouse,0
BagOfBones,Carrie,0
BagOfBones,It,0
BagOfBones,Misery,0
BagOfBones,SalemsLot,0
BagOfBones,SongOfSusannah,0
BagOfBones,TheDarkTower,0
BagOfBones,TheDeadZone,0
BagOfBones,TheDrawingOfTheThree,0
BagOfBones,TheGirlWhoLovedTomGordon,0
BagOfBones,TheGunslinger,0
BagOfBones,TheLittleSistersOfEluria,0
BagOfBones,TheShining,0
BagOfBones,TheWasteLands,0
BagOfBones,WizardAndGlass,0
BlackHouse,Carrie,0
BlackHouse,It,0
BlackHouse,Misery,0
BlackHouse,SalemsLot,0
BlackHouse,SongOfSusannah,0
BlackHouse,TheDarkTower,0
BlackHouse,TheDeadZone,0
BlackHouse,TheDrawingOfTheThree,0
BlackHouse,TheGirlWhoLovedTomGordon,0
BlackHouse,TheGunslinger,0
BlackHouse,TheLittleSistersOfEluria,0
BlackHouse,TheShining,0
BlackHouse,TheWasteLands,0
BlackHouse,WizardAndGlass,0
Carrie,It,0
Carrie,Misery,0
Carrie,SalemsLot,0
Carrie,SongOfSusannah,0
Carrie,TheDarkTower,0
Carrie,TheDeadZone,0
Carrie,TheDrawingOfTheThree,0
Carrie,TheGirlWhoLovedTomGordon,0
Carrie,TheGunslinger,0
Carrie,TheLittleSistersOfEluria,0
Carrie,TheShining,0
Carrie,TheWasteLands,0
Carrie,WizardAndGlass,0
It,Misery,0
It,SalemsLot,0
It,SongOfSusannah,0
It,TheDarkTower,0
It,TheDeadZone,0
It,TheDrawingOfTheThree,0
It,TheGirlWhoLovedTomGordon,0
It,TheGunslinger,0
It,TheLittleSistersOfEluria,0
It,TheShining,0
It,TheWasteLands,0
It,WizardAndGlass,0
Misery,SalemsLot,0
Misery,SongOfSusannah,0
Misery,TheDarkTower,0
Misery,TheDeadZone,0
Misery,TheDrawingOfTheThree,0
Misery,TheGirlWhoLovedTomGordon,0
Misery,TheGunslinger,0
Misery,TheLittleSistersOfEluria,0
Misery,TheShining,0
Misery,TheWasteLands,0
Misery,WizardAndGlass,0
SalemsLot,SongOfSusannah,0
SalemsLot,TheDarkTower,0
SalemsLot,TheDeadZone,0
SalemsLot,TheDrawingOfTheThree,0
SalemsLot,TheGirlWhoLovedTomGordon,0
SalemsLot,TheGunslinger,0
SalemsLot,TheLittleSistersOfEluria,0
SalemsLot,TheShining,0
SalemsLot,TheWasteLands,0
SalemsLot,WizardAndGlass,0
SongOfSusannah,TheDarkTower,0
SongOfSusannah,TheDeadZone,0
SongOfSusannah,TheDrawingOfTheThree,0
SongOfSusannah,TheGirlWhoLovedTomGordon,0
SongOfSusannah,TheGunslinger,0
SongOfSusannah,TheLittleSistersOfEluria,0
SongOfSusannah,TheShining,0
SongOfSusannah,TheWasteLands,0
SongOfSusannah,WizardAndGlass,0
TheDarkTower,TheDeadZone,0
TheDarkTower,TheDrawingOfTheThree,0
TheDarkTower,TheGirlWhoLovedTomGordon,0
TheDarkTower,TheGunslinger,0
TheDarkTower,TheLittleSistersOfEluria,0
TheDarkTower,TheShining,0
TheDarkTower,TheWasteLands,0
TheDarkTower,WizardAndGlass,0
TheDeadZone,TheDrawingOfTheThree,0
TheDeadZone,TheGirlWhoLovedTomGordon,0
TheDeadZone,TheGunslinger,0
TheDeadZone,TheLittleSistersOfEluria,0
TheDeadZone,TheShining,0
TheDeadZone,TheWasteLands,0
TheDeadZone,WizardAndGlass,0
TheDrawingOfTheThree,TheGirlWhoLovedTomGordon,0
TheDrawingOfTheThree,TheGunslinger,0
TheDrawingOfTheThree,TheLittleSistersOfEluria,0
TheDrawingOfTheThree,TheShining,0
TheDrawingOfTheThree,TheWasteLands,0
TheDrawingOfTheThree,WizardAndGlass,0
TheGirlWhoLovedTomGordon,TheGunslinger,0
TheGirlWhoLovedTomGordon,TheLittleSistersOfEluria,0
TheGirlWhoLovedTomGordon,TheShining,0
TheGirlWhoLovedTomGordon,TheWasteLands,0
TheGirlWhoLovedTomGordon,WizardAndGlass,0
TheGunslinger,TheLittleSistersOfEluria,0
TheGunslinger,TheShining,0
TheGunslinger,TheWasteLands,0
TheGunslinger,WizardAndGlass,0
TheLittleSistersOfEluria,TheShining,0
TheLittleSistersOfEluria,TheWasteLands,0
TheLittleSistersOfEluria,WizardAndGlass,0
TheShining,TheWasteLands,0
TheShining,WizardAndGlass,0
TheWasteLands,WizardAndGlass,0
