character,freq,novel
Jack Torrance,35,TheShining
George Hatfield,18,TheShining
Al Shockley,14,TheShining
Dick Hallorann,10,TheShining
Horace Derwent,10,TheShining
Danny Danny,9,TheShining
Uncle Al,8,TheShining
John Torrance,7,TheShining
Wendy Torrance,6,TheShining
Danny Jack,6,TheShining
Gary Benson,6,TheShining
Charles Grondin,6,TheShining
Dick Halloranns,6,TheShining
Torrance Lloyd,5,TheShining
Lou Lou,5,TheShining
Stuart Ullman,5,TheShining
Unmask Unmask,4,TheShining
Jack Jack,4,TheShining
Delores Vickery,4,TheShining
Carlton Vecker,3,TheShining
Mommyl Danny,3,TheShining
Danny She,3,TheShining
Dad Danny,3,TheShining
Howard Cottrells,3,TheShining
Danny Wendy,3,TheShining
Josh Brannigar,3,TheShining
Danny Torrance,3,TheShining
Danny Dannys,2,TheShining
Delbert Grady,2,TheShining
Fine Wendy,2,TheShining
Danny Its,2,TheShining
Vito Gienelli,2,TheShining
Nolan Ryan,2,TheShining
Torrance Ullman,2,TheShining
Sylvia Hunter,2,TheShining
Hallorann Danny,2,TheShining
Yeah Hallorann,2,TheShining
My Life,2,TheShining
Uncle Sam,2,TheShining
Bill Edmonds,2,TheShining
Grady Ill,2,TheShining
Howard Cottrell,2,TheShining
Danny You,2,TheShining
Vittorio Gienelli,2,TheShining
Jack Torrances,2,TheShining
Monkey DeLong,2,TheShining
Wendy Jack,2,TheShining
Albert Shockley,2,TheShining
Robert Redford,2,TheShining
Little Margery,2,TheShining
Buckland Utah,2,TheShining
Frank Norriss,2,TheShining
Glenn Miller,2,TheShining
Nelson Rockefeller,1,TheShining
Bugs Bunny,1,TheShining
Unheeding Danny,1,TheShining
Putty Color,1,TheShining
Lenny Kaye Wendy,1,TheShining
Marilyn Monroe,1,TheShining
Martin Luther King,1,TheShining
Jacky Go,1,TheShining
Roar Slap,1,TheShining
Durkin Hallorann,1,TheShining
Dick Call,1,TheShining
Horace M Derwent Requests,1,TheShining
Patrick McGoohan the Secret Agent Man,1,TheShining
Hatfield kid Al,1,TheShining
Shirley Jackson,1,TheShining
Victor T Boorman,1,TheShining
Horace Walpole,1,TheShining
nt  Hallorann,1,TheShining
Arthur Miller Danny,1,TheShining
Alexander Hamilton,1,TheShining
Henry Ford,1,TheShining
Hallorann Maam,1,TheShining
Robert Norman,1,TheShining
Danny Ill,1,TheShining
Ullman Hallorann,1,TheShining
Lou my darlin,1,TheShining
Mel Mel,1,TheShining
Wendy Hallorann,1,TheShining
Howie Cottrell,1,TheShining
Danny Danneee,1,TheShining
George George,1,TheShining
Mark Torrance,1,TheShining
Stop Danny,1,TheShining
Dick Bows,1,TheShining
Mary Ullman,1,TheShining
Sister Beatrice,1,TheShining
Frank Masterton,1,TheShining
Danny Hallorann,1,TheShining
