dates,freq,novel
the day,46,It
that day,43,It
the years,13,It
the day,13,BagOfBones copy
those days,12,It
these days,12,It
four years,11,BagOfBones copy
this summer,11,It
the day,10,Misery
the next day,10,It
the summer,10,It
a week,9,It
these days,9,BagOfBones copy
four years,9,It
the week,8,It
all day,8,It
two years,8,It
the summer,8,BagOfBones copy
one day,8,It
the spring,7,It
the last day,7,It
years later,7,It
every day,7,It
two years,7,BagOfBones copy
those days,6,BagOfBones copy
this year,6,It
twenty years,6,It
a quarter,6,It
last week,6,It
Years later,6,It
the year,6,It
this day,6,It
two days,6,It
the day,6,TheShining
three days,6,TheShining
a year later,5,It
last week,5,Misery
Fourth of July,5,BagOfBones copy
the day before,5,BagOfBones copy
ten years,5,It
the old days,5,It
the year before,5,It
this spring,5,It
three days,5,Misery
three years,5,It
a week,5,Misery
the next day,5,TheShining
two days ago,5,It
those days,5,TheShining
last year,4,BagOfBones copy
three days later,4,It
two weeks,4,It
three weeks,4,It
last year,4,It
a week later,4,It
that week,4,BagOfBones copy
the spring,4,BagOfBones copy
the turn of the century,4,BagOfBones copy
a week,4,BagOfBones copy
the weekend,4,BagOfBones copy
that summer,4,It
three years,4,TheShining
the winter,4,TheShining
a week,4,TheShining
forty years,3,BagOfBones copy
The day,3,TheShining
the season,3,TheShining
next spring,3,TheShining
the spring,3,TheShining
a year,3,TheShining
six months,3,TheShining
next year,3,TheShining
all day,3,TheShining
one day,3,TheShining
this week,3,TheShining
the years,3,TheShining
ten years,3,TheShining
last year,3,TheShining
the next day,3,Misery
the days,3,Misery
these days,3,Misery
One day,3,It
all day,3,Misery
five days,3,Misery
this fall,3,BagOfBones copy
that day,3,TheShining
two years ago,3,It
six months,3,It
Four years,3,BagOfBones copy
the end of the day,3,BagOfBones copy
a month,3,BagOfBones copy
ten years,3,BagOfBones copy
three days,3,BagOfBones copy
that summer,3,BagOfBones copy
the years,3,BagOfBones copy
years ago,3,BagOfBones copy
two days,3,Misery
every year,3,It
last week,3,BagOfBones copy
summer day,3,It
next day,3,It
four weeks,3,It
the winter,3,It
Five years ago,3,It
four years ago,3,It
the day before,3,It
a day,3,TheShining
The day,3,It
next year,3,It
three days,2,It
the first day,2,It
late yesterday,2,It
the other day,2,It
five years,2,It
six weeks ago,2,It
early summer,2,It
a year earlier,2,It
all the years,2,It
the fifties,2,It
a few years,2,It
ten years old,2,It
the end of that spring,2,It
the late sixties,2,It
early April,2,It
two thousand,2,It
years ago,2,It
June of that year,2,It
two months ago,2,It
the last week,2,It
that year,2,It
Two years ago,2,It
a thousand years,2,It
late last year,2,It
the last week,2,BagOfBones copy
a year,2,It
a few days,2,BagOfBones copy
another day,2,BagOfBones copy
two weeks ago,2,BagOfBones copy
The day,2,BagOfBones copy
seven years,2,BagOfBones copy
this year,2,BagOfBones copy
three weeks,2,BagOfBones copy
the last four years,2,BagOfBones copy
four years ago,2,BagOfBones copy
Quarter past nine,2,BagOfBones copy
the sixties,2,BagOfBones copy
the year,2,BagOfBones copy
the days,2,BagOfBones copy
almost a hundred years,2,BagOfBones copy
Later that day,2,BagOfBones copy
A week later,2,BagOfBones copy
four days,2,BagOfBones copy
the same day,2,It
late summer,2,BagOfBones copy
Four years ago,2,It
all week,2,It
the late eighties,2,BagOfBones copy
the years between,2,It
quarter past,2,BagOfBones copy
this summer,2,BagOfBones copy
all weekend,2,BagOfBones copy
last Friday,2,BagOfBones copy
a year,2,BagOfBones copy
NEXT CENTURY,2,BagOfBones copy
all day,2,BagOfBones copy
the eighties,2,BagOfBones copy
one day,2,BagOfBones copy
twenty years,2,BagOfBones copy
this week,2,It
two years before,2,It
a hundred years,2,It
the end of the season,2,TheShining
the last ve years,2,TheShining
a day earlier or later,2,TheShining
May twelfth,2,TheShining
the summer,2,TheShining
the turn of the year,2,It
Last year,2,TheShining
these days,2,TheShining
sixty years old,2,TheShining
a few years ago,2,TheShining
this year,2,TheShining
last week,2,TheShining
late March,2,TheShining
the year before,2,TheShining
the third day,2,It
last month,2,It
twenty years ago,2,TheShining
the year,2,TheShining
earlier that day,2,It
every day,2,TheShining
two years ago,2,TheShining
all winter,2,TheShining
two months,2,TheShining
eight quarters,2,TheShining
the best year,2,TheShining
a weekend,2,TheShining
Next year,2,TheShining
the three years,2,TheShining
half a year,2,TheShining
the end of the week,2,TheShining
three days later,2,TheShining
two weeks,2,TheShining
two seasons,2,TheShining
two weeks ago,2,TheShining
this winter,2,TheShining
later years,2,It
several years,2,TheShining
these years,2,It
last winter,2,Misery
forty years,2,Misery
three nights ago,2,Misery
the spring,2,Misery
ten years,2,Misery
five years,2,Misery
the days,2,It
each year,2,It
a few days,2,It
eleven years,2,It
the last couple of years,2,It
the turn of the century,2,It
ten years later,2,It
Easter Sunday,2,It
six weeks,2,It
about two years,2,It
quarter of,2,Misery
last summer,2,It
every day,2,Misery
late March,2,It
a day,2,Misery
the last seven,2,It
the last three years,2,It
next week,2,It
the nineteenth century,2,Misery
a year,2,Misery
forty years of age,1,It
the last thirteen years or so,1,It
five years ago,1,It
a few years ago,1,It
a span of eight months,1,It
Each year,1,It
two days later,1,It
almost a week,1,It
each spring,1,It
eight months,1,It
Two nights ago,1,It
the last six years,1,It
thirteen years later,1,It
less than a year,1,It
the first three or four days,1,It
five weeks,1,It
late sixties,1,It
summer vacation,1,It
less than ten days,1,It
about three days,1,It
Christmas two years ago,1,It
the next couple of years,1,It
only six weeks,1,It
the early winter,1,It
Three years later,1,It
two or three years,1,It
just a,1,It
the following year,1,It
the middle of February,1,It
early forties,1,It
about a year and a half ago,1,It
the end of the day,1,It
Fourth of,1,It
the week or so,1,It
the age of nine,1,It
long ago,1,It
early winter,1,It
About a thousand years ago,1,It
its days,1,It
eleven thousand a year,1,It
seven weeks later,1,It
the last hundred years,1,It
four days ago,1,It
a million years from,1,It
the last billion years or so,1,It
last the day,1,It
every April,1,It
late April,1,It
the last two years,1,It
four or five days,1,It
the previous fall,1,It
every month,1,It
