novel,neighbour,strength
BagOfBones,BlackHouse,6
BagOfBones,Carrie,0
BagOfBones,It,11
BagOfBones,Misery,1
BagOfBones,SalemsLot,6
BagOfBones,SongOfSusannah,4
BagOfBones,TheDarkTower,10
BagOfBones,TheDeadZone,4
BagOfBones,TheDrawingOfTheThree,2
BagOfBones,TheGirlWhoLovedTomGordon,0
BagOfBones,TheGunslinger,0
BagOfBones,TheLittleSistersOfEluria,0
BagOfBones,TheShining,2
BagOfBones,TheWasteLands,7
BagOfBones,WizardAndGlass,5
BlackHouse,Carrie,3
BlackHouse,It,12
BlackHouse,Misery,2
BlackHouse,SalemsLot,2
BlackHouse,SongOfSusannah,5
BlackHouse,TheDarkTower,7
BlackHouse,TheDeadZone,4
BlackHouse,TheDrawingOfTheThree,4
BlackHouse,TheGirlWhoLovedTomGordon,0
BlackHouse,TheGunslinger,0
BlackHouse,TheLittleSistersOfEluria,0
BlackHouse,TheShining,6
BlackHouse,TheWasteLands,5
BlackHouse,WizardAndGlass,5
Carrie,It,3
Carrie,Misery,0
Carrie,SalemsLot,1
Carrie,SongOfSusannah,2
Carrie,TheDarkTower,1
Carrie,TheDeadZone,3
Carrie,TheDrawingOfTheThree,0
Carrie,TheGirlWhoLovedTomGordon,0
Carrie,TheGunslinger,1
Carrie,TheLittleSistersOfEluria,0
Carrie,TheShining,0
Carrie,TheWasteLands,2
Carrie,WizardAndGlass,1
It,Misery,5
It,SalemsLot,10
It,SongOfSusannah,13
It,TheDarkTower,16
It,TheDeadZone,16
It,TheDrawingOfTheThree,5
It,TheGirlWhoLovedTomGordon,1
It,TheGunslinger,0
It,TheLittleSistersOfEluria,0
It,TheShining,10
It,TheWasteLands,13
It,WizardAndGlass,8
Misery,SalemsLot,2
Misery,SongOfSusannah,2
Misery,TheDarkTower,2
Misery,TheDeadZone,2
Misery,TheDrawingOfTheThree,1
Misery,TheGirlWhoLovedTomGordon,0
Misery,TheGunslinger,0
Misery,TheLittleSistersOfEluria,0
Misery,TheShining,0
Misery,TheWasteLands,2
Misery,WizardAndGlass,0
SalemsLot,SongOfSusannah,7
SalemsLot,TheDarkTower,8
SalemsLot,TheDeadZone,6
SalemsLot,TheDrawingOfTheThree,1
SalemsLot,TheGirlWhoLovedTomGordon,0
SalemsLot,TheGunslinger,0
SalemsLot,TheLittleSistersOfEluria,0
SalemsLot,TheShining,2
SalemsLot,TheWasteLands,4
SalemsLot,WizardAndGlass,4
SongOfSusannah,TheDarkTower,75
SongOfSusannah,TheDeadZone,10
SongOfSusannah,TheDrawingOfTheThree,20
SongOfSusannah,TheGirlWhoLovedTomGordon,1
SongOfSusannah,TheGunslinger,3
SongOfSusannah,TheLittleSistersOfEluria,5
SongOfSusannah,TheShining,1
SongOfSusannah,TheWasteLands,35
SongOfSusannah,WizardAndGlass,32
TheDarkTower,TheDeadZone,13
TheDarkTower,TheDrawingOfTheThree,18
TheDarkTower,TheGirlWhoLovedTomGordon,0
TheDarkTower,TheGunslinger,7
TheDarkTower,TheLittleSistersOfEluria,6
TheDarkTower,TheShining,4
TheDarkTower,TheWasteLands,44
TheDarkTower,WizardAndGlass,50
TheDeadZone,TheDrawingOfTheThree,1
TheDeadZone,TheGirlWhoLovedTomGordon,0
TheDeadZone,TheGunslinger,1
TheDeadZone,TheLittleSistersOfEluria,0
TheDeadZone,TheShining,6
TheDeadZone,TheWasteLands,5
TheDeadZone,WizardAndGlass,1
TheDrawingOfTheThree,TheGirlWhoLovedTomGordon,0
TheDrawingOfTheThree,TheGunslinger,2
TheDrawingOfTheThree,TheLittleSistersOfEluria,0
TheDrawingOfTheThree,TheShining,2
TheDrawingOfTheThree,TheWasteLands,20
TheDrawingOfTheThree,WizardAndGlass,12
TheGirlWhoLovedTomGordon,TheGunslinger,0
TheGirlWhoLovedTomGordon,TheLittleSistersOfEluria,0
TheGirlWhoLovedTomGordon,TheShining,0
TheGirlWhoLovedTomGordon,TheWasteLands,0
TheGirlWhoLovedTomGordon,WizardAndGlass,0
TheGunslinger,TheLittleSistersOfEluria,0
TheGunslinger,TheShining,1
TheGunslinger,TheWasteLands,8
TheGunslinger,WizardAndGlass,8
TheLittleSistersOfEluria,TheShining,0
TheLittleSistersOfEluria,TheWasteLands,1
TheLittleSistersOfEluria,WizardAndGlass,5
TheShining,TheWasteLands,0
TheShining,WizardAndGlass,0
TheWasteLands,WizardAndGlass,53
