novel,neighbour,strength
BagOfBones,BlackHouse,2
BagOfBones,Carrie,2
BagOfBones,It,3
BagOfBones,Misery,0
BagOfBones,SalemsLot,2
BagOfBones,SongOfSusannah,2
BagOfBones,TheDarkTower,5
BagOfBones,TheDeadZone,1
BagOfBones,TheDrawingOfTheThree,0
BagOfBones,TheGirlWhoLovedTomGordon,1
BagOfBones,TheGunslinger,0
BagOfBones,TheLittleSistersOfEluria,0
BagOfBones,TheShining,1
BagOfBones,TheWasteLands,1
BagOfBones,WizardAndGlass,3
BlackHouse,Carrie,0
BlackHouse,It,4
BlackHouse,Misery,0
BlackHouse,SalemsLot,1
BlackHouse,SongOfSusannah,0
BlackHouse,TheDarkTower,2
BlackHouse,TheDeadZone,2
BlackHouse,TheDrawingOfTheThree,0
BlackHouse,TheGirlWhoLovedTomGordon,0
BlackHouse,TheGunslinger,0
BlackHouse,TheLittleSistersOfEluria,0
BlackHouse,TheShining,0
BlackHouse,TheWasteLands,0
BlackHouse,WizardAndGlass,0
Carrie,It,1
Carrie,Misery,0
Carrie,SalemsLot,1
Carrie,SongOfSusannah,1
Carrie,TheDarkTower,1
Carrie,TheDeadZone,1
Carrie,TheDrawingOfTheThree,0
Carrie,TheGirlWhoLovedTomGordon,1
Carrie,TheGunslinger,0
Carrie,TheLittleSistersOfEluria,0
Carrie,TheShining,1
Carrie,TheWasteLands,0
Carrie,WizardAndGlass,1
It,Misery,1
It,SalemsLot,2
It,SongOfSusannah,1
It,TheDarkTower,3
It,TheDeadZone,4
It,TheDrawingOfTheThree,0
It,TheGirlWhoLovedTomGordon,1
It,TheGunslinger,0
It,TheLittleSistersOfEluria,0
It,TheShining,2
It,TheWasteLands,0
It,WizardAndGlass,1
Misery,SalemsLot,0
Misery,SongOfSusannah,0
Misery,TheDarkTower,2
Misery,TheDeadZone,1
Misery,TheDrawingOfTheThree,1
Misery,TheGirlWhoLovedTomGordon,1
Misery,TheGunslinger,0
Misery,TheLittleSistersOfEluria,0
Misery,TheShining,2
Misery,TheWasteLands,0
Misery,WizardAndGlass,1
SalemsLot,SongOfSusannah,1
SalemsLot,TheDarkTower,2
SalemsLot,TheDeadZone,1
SalemsLot,TheDrawingOfTheThree,0
SalemsLot,TheGirlWhoLovedTomGordon,1
SalemsLot,TheGunslinger,0
SalemsLot,TheLittleSistersOfEluria,0
SalemsLot,TheShining,1
SalemsLot,TheWasteLands,0
SalemsLot,WizardAndGlass,1
SongOfSusannah,TheDarkTower,9
SongOfSusannah,TheDeadZone,1
SongOfSusannah,TheDrawingOfTheThree,1
SongOfSusannah,TheGirlWhoLovedTomGordon,1
SongOfSusannah,TheGunslinger,0
SongOfSusannah,TheLittleSistersOfEluria,0
SongOfSusannah,TheShining,1
SongOfSusannah,TheWasteLands,4
SongOfSusannah,WizardAndGlass,3
TheDarkTower,TheDeadZone,2
TheDarkTower,TheDrawingOfTheThree,2
TheDarkTower,TheGirlWhoLovedTomGordon,1
TheDarkTower,TheGunslinger,1
TheDarkTower,TheLittleSistersOfEluria,0
TheDarkTower,TheShining,1
TheDarkTower,TheWasteLands,3
TheDarkTower,WizardAndGlass,6
TheDeadZone,TheDrawingOfTheThree,0
TheDeadZone,TheGirlWhoLovedTomGordon,2
TheDeadZone,TheGunslinger,0
TheDeadZone,TheLittleSistersOfEluria,0
TheDeadZone,TheShining,3
TheDeadZone,TheWasteLands,0
TheDeadZone,WizardAndGlass,2
TheDrawingOfTheThree,TheGirlWhoLovedTomGordon,0
TheDrawingOfTheThree,TheGunslinger,0
TheDrawingOfTheThree,TheLittleSistersOfEluria,0
TheDrawingOfTheThree,TheShining,0
TheDrawingOfTheThree,TheWasteLands,1
TheDrawingOfTheThree,WizardAndGlass,2
TheGirlWhoLovedTomGordon,TheGunslinger,0
TheGirlWhoLovedTomGordon,TheLittleSistersOfEluria,0
TheGirlWhoLovedTomGordon,TheShining,2
TheGirlWhoLovedTomGordon,TheWasteLands,0
TheGirlWhoLovedTomGordon,WizardAndGlass,1
TheGunslinger,TheLittleSistersOfEluria,0
TheGunslinger,TheShining,0
TheGunslinger,TheWasteLands,0
TheGunslinger,WizardAndGlass,0
TheLittleSistersOfEluria,TheShining,0
TheLittleSistersOfEluria,TheWasteLands,0
TheLittleSistersOfEluria,WizardAndGlass,0
TheShining,TheWasteLands,0
TheShining,WizardAndGlass,1
TheWasteLands,WizardAndGlass,4
