Most common words,Absolute Frequency,Relative Frequency
said,1058.0,0.010592181008159384
one,877.0,0.008780097111678431
like,826.0,0.00826950993642689
back,692.0,0.006927967162236572
could,589.0,0.005896781298493268
little,505.0,0.005055814186314261
know,438.0,0.004385042799219102
didnt,427.0,0.004274916153576613
dont,424.0,0.004244881613855935
time,409.0,0.00409470891525254
right,397.0,0.0039745707563698255
mattie,393.0,0.0039345247034089205
way,389.0,0.003894478650448015
thought,380.0,0.003804375031285979
looked,376.0,0.0037643289783250737
think,368.0,0.003684236872403264
old,349.0,0.003494018120838965
see,345.0,0.00345397206787806
still,344.0,0.0034439605546378333
id,343.0,0.003433949041397607
devore,337.0,0.0033738799619562497
got,324.0,0.003243730289833308
even,321.0,0.0032136957501126295
go,318.0,0.0031836612103919508
get,317.0,0.0031736496971517245
around,310.0,0.0031035691044701405
went,285.0,0.002853281273464484
something,283.0,0.0028332582469840317
im,283.0,0.0028332582469840317
going,273.0,0.002733143114581769
jo,273.0,0.002733143114581769
two,256.0,0.0025629473894979225
good,255.0,0.0025529358762576963
never,253.0,0.002532912849777244
much,253.0,0.002532912849777244
come,251.0,0.0025128898232967913
sara,251.0,0.0025128898232967913
hand,245.0,0.002452820743855434
want,244.0,0.0024428092306152077
wasnt,241.0,0.0024127746908945286
might,231.0,0.0023126595584922662
well,229.0,0.0022926365320118137
ki,228.0,0.0022826250187715875
eyes,226.0,0.0022626019922911346
put,224.0,0.002242578965810682
first,223.0,0.002232567452570456
thats,222.0,0.0022225559393302297
came,218.0,0.0021825098863693247
man,209.0,0.002092406267207288
john,208.0,0.002082394753967062
saw,207.0,0.0020723832407268357
say,206.0,0.0020623717274866095
lake,204.0,0.002042348701006157
away,202.0,0.0020223256745257046
maybe,201.0,0.0020123141612854783
asked,194.0,0.0019422335686038945
almost,193.0,0.0019322220553636682
made,192.0,0.001922210542123442
head,192.0,0.001922210542123442
turned,188.0,0.0018821644891625368
mike,188.0,0.0018821644891625368
face,186.0,0.0018621414626820844
house,185.0,0.0018521299494418581
tell,184.0,0.001842118436201632
kyra,184.0,0.001842118436201632
long,180.0,0.0018020723832407267
voice,180.0,0.0018020723832407267
felt,180.0,0.0018020723832407267
told,179.0,0.0017920608700005005
last,179.0,0.0017920608700005005
left,179.0,0.0017920608700005005
thing,177.0,0.001772037843520048
yes,174.0,0.0017420033037993693
wanted,173.0,0.001731991790559143
white,173.0,0.001731991790559143
look,172.0,0.0017219802773189167
knew,172.0,0.0017219802773189167
take,171.0,0.0017119687640786904
nothing,166.0,0.0016619111978775592
another,161.0,0.0016118536316764279
looking,160.0,0.0016018421184362016
people,160.0,0.0016018421184362016
enough,159.0,0.0015918306051959754
side,158.0,0.0015818190919557492
really,157.0,0.001571807578715523
bill,156.0,0.0015617960654752967
water,156.0,0.0015617960654752967
sure,155.0,0.0015517845522350702
hands,147.0,0.0014716924463132601
called,144.0,0.0014416579065925814
took,144.0,0.0014416579065925814
seemed,143.0,0.0014316463933523552
youre,142.0,0.001421634880112129
gone,141.0,0.0014116233668719027
behind,140.0,0.0014016118536316765
day,140.0,0.0014016118536316765
us,139.0,0.0013916003403914503
always,138.0,0.0013815888271512238
ill,137.0,0.0013715773139109976
let,136.0,0.0013615658006707713
