Most common words,Absolute Frequency,Relative Frequency
jack,1595.0,0.012772670489125212
says,1190.0,0.009529453217591851
like,941.0,0.007535475191389859
one,874.0,0.0069989429514077965
back,646.0,0.005173131746692719
dale,584.0,0.004676639226112303
little,488.0,0.003907876613600692
right,465.0,0.003723693904353118
know,447.0,0.0035795509145071912
get,429.0,0.003435407924661264
hes,427.0,0.0034193920369006052
old,421.0,0.0033713443736186296
henry,420.0,0.0033633364297383003
dont,408.0,0.003267241103174349
time,399.0,0.0031951696082513853
eyes,383.0,0.0030670425061661167
beezer,376.0,0.0030109868990038117
see,369.0,0.0029549312918415067
way,365.0,0.00292289951632019
man,359.0,0.0028748518530382137
even,343.0,0.0027467247509529455
head,336.0,0.00269066914379064
two,335.0,0.002682661199910311
go,332.0,0.002658637368269323
could,318.0,0.0025465261539447132
think,317.0,0.002538518210064384
looks,314.0,0.002514494378423396
around,307.0,0.002458438771261091
something,305.0,0.0024424228835004326
fred,305.0,0.0024424228835004326
going,298.0,0.002386367276338127
still,290.0,0.0023223037252954933
black,287.0,0.0022982798936545053
wendell,281.0,0.0022502322303725297
house,280.0,0.0022422242864922003
good,280.0,0.0022422242864922003
hand,277.0,0.0022182004548512123
come,273.0,0.0021861686793298953
want,273.0,0.0021861686793298953
thinks,268.0,0.0021461289599282486
first,265.0,0.002122105128287261
say,265.0,0.002122105128287261
ty,265.0,0.002122105128287261
away,264.0,0.0021140971844069317
side,257.0,0.0020580415772446267
got,254.0,0.0020340177456036387
look,252.0,0.0020180018578429804
thats,252.0,0.0020180018578429804
door,249.0,0.0019939780262019924
im,248.0,0.001985970082321663
never,240.0,0.0019219065312790287
face,236.0,0.0018898747557577116
doesnt,231.0,0.0018498350363560653
well,229.0,0.0018338191485954066
judy,229.0,0.0018338191485954066
doc,229.0,0.0018338191485954066
voice,226.0,0.0018097953169544188
maybe,223.0,0.001785771485313431
marshall,223.0,0.001785771485313431
mr,221.0,0.0017697555975527723
place,218.0,0.0017457317659117844
sawyer,216.0,0.001729715878151126
mouse,212.0,0.0016976841026298088
long,211.0,0.0016896761587494795
boy,210.0,0.0016816682148691501
world,207.0,0.0016576443832281623
said,207.0,0.0016576443832281623
room,206.0,0.001649636439347833
road,204.0,0.0016336205515871745
another,204.0,0.0016336205515871745
knows,199.0,0.001593580832185528
almost,199.0,0.001593580832185528
take,198.0,0.0015855728883051986
much,198.0,0.0015855728883051986
us,197.0,0.0015775649444248695
might,196.0,0.0015695570005445402
behind,196.0,0.0015695570005445402
toward,194.0,0.0015535411127838817
left,186.0,0.0014894775617412474
people,186.0,0.0014894775617412474
front,183.0,0.0014654537301002594
thing,183.0,0.0014654537301002594
theres,182.0,0.0014574457862199302
fisherman,180.0,0.0014414298984592715
moment,175.0,0.0014013901790576253
french,174.0,0.001393382235177296
comes,174.0,0.001393382235177296
green,173.0,0.0013853742912969666
hands,171.0,0.001369358403536308
mind,170.0,0.0013613504596559787
tell,168.0,0.00134533457189532
cant,168.0,0.00134533457189532
yes,167.0,0.001337326628014991
things,165.0,0.0013213107402543322
youre,164.0,0.0013133027963740031
looking,164.0,0.0013133027963740031
last,161.0,0.001289278964733015
sure,161.0,0.001289278964733015
seems,160.0,0.001281271020852686
sound,160.0,0.001281271020852686
