Most common words,Absolute Frequency,Relative Frequency
carrie,340.0,0.012013709762905904
said,216.0,0.0076322391434931625
like,210.0,0.007420232500618353
one,176.0,0.006218861524327763
momma,169.0,0.0059715204409738175
white,149.0,0.005264831631391117
back,148.0,0.005229497190911982
could,145.0,0.005123493869474577
time,103.0,0.0036394473693509063
eyes,103.0,0.0036394473693509063
know,101.0,0.003568778488392636
looked,99.0,0.0034981096074343664
going,96.0,0.003392106285996961
dont,92.0,0.0032507685240804212
school,89.0,0.003144765202643016
face,88.0,0.0031094307621638813
go,88.0,0.0031094307621638813
went,87.0,0.0030740963216847462
little,87.0,0.0030740963216847462
tommy,83.0,0.002932758559768206
see,83.0,0.002932758559768206
right,82.0,0.0028974241192890712
something,80.0,0.002826755238330801
began,78.0,0.002756086357372531
still,78.0,0.002756086357372531
around,77.0,0.002720751916893396
came,77.0,0.002720751916893396
blood,76.0,0.002685417476414261
get,74.0,0.002614748595455991
think,72.0,0.002544079714497721
even,71.0,0.0025087452740185858
thought,71.0,0.0025087452740185858
sue,70.0,0.002473410833539451
street,69.0,0.002438076393060316
miss,69.0,0.002438076393060316
got,67.0,0.002367407512102046
fire,67.0,0.002367407512102046
im,66.0,0.0023320730716229108
made,66.0,0.0023320730716229108
first,65.0,0.0022967386311437757
way,64.0,0.002261404190664641
chamberlain,62.0,0.002190735309706371
mind,62.0,0.002190735309706371
head,60.0,0.0021200664287481007
didnt,60.0,0.0021200664287481007
hand,58.0,0.0020493975477898305
yes,58.0,0.0020493975477898305
two,57.0,0.002014063107310696
felt,57.0,0.002014063107310696
desjardin,54.0,0.0019080597858732906
good,54.0,0.0019080597858732906
knew,53.0,0.0018727253453941558
hands,53.0,0.0018727253453941558
well,53.0,0.0018727253453941558
suddenly,53.0,0.0018727253453941558
high,52.0,0.0018373909049150207
chris,52.0,0.0018373909049150207
god,51.0,0.0018020564644358856
never,50.0,0.0017667220239567507
thats,50.0,0.0017667220239567507
want,50.0,0.0017667220239567507
fell,49.0,0.0017313875834776156
black,49.0,0.0017313875834776156
night,49.0,0.0017313875834776156
light,48.0,0.0016960531429984806
saw,48.0,0.0016960531429984806
mr,48.0,0.0016960531429984806
girls,47.0,0.0016607187025193457
girl,47.0,0.0016607187025193457
door,47.0,0.0016607187025193457
put,47.0,0.0016607187025193457
come,47.0,0.0016607187025193457
seemed,46.0,0.0016253842620402106
looking,46.0,0.0016253842620402106
course,45.0,0.0015900498215610755
take,45.0,0.0015900498215610755
almost,45.0,0.0015900498215610755
mrs,44.0,0.0015547153810819407
let,44.0,0.0015547153810819407
may,43.0,0.0015193809406028056
town,42.0,0.0014840465001236705
margaret,42.0,0.0014840465001236705
people,42.0,0.0014840465001236705
prom,42.0,0.0014840465001236705
billy,41.0,0.0014487120596445356
gone,41.0,0.0014487120596445356
say,41.0,0.0014487120596445356
started,41.0,0.0014487120596445356
might,40.0,0.0014133776191654005
away,40.0,0.0014133776191654005
long,40.0,0.0014133776191654005
across,40.0,0.0014133776191654005
car,40.0,0.0014133776191654005
place,39.0,0.0013780431786862655
carries,39.0,0.0013780431786862655
floor,39.0,0.0013780431786862655
always,38.0,0.0013427087382071306
feet,38.0,0.0013427087382071306
look,38.0,0.0013427087382071306
turned,37.0,0.0013073742977279955
