Most common words,Absolute Frequency,Relative Frequency
said,2164.0,0.010065490808960333
bill,1850.0,0.00860497134777108
one,1729.0,0.008042159708268215
like,1662.0,0.007730520205402992
back,1519.0,0.007065379176899605
could,1271.0,0.0059118478827119144
richie,1264.0,0.005879288531666294
ben,1154.0,0.00536764158666369
eddie,1034.0,0.004809481283024485
looked,980.0,0.004558309146386843
thought,834.0,0.003879214110292476
time,756.0,0.0035164099129269925
eyes,743.0,0.003455942546699412
henry,735.0,0.003418731859790132
got,726.0,0.0033768698370171915
little,706.0,0.0032838431197439906
way,695.0,0.00323267842524373
get,692.0,0.0032187244176527497
mike,689.0,0.0032047704100617697
right,682.0,0.0031722110590161495
see,680.0,0.0031629083872888293
around,657.0,0.0030559276624246485
beverly,656.0,0.0030512763265609882
know,641.0,0.0029815062886060875
saw,632.0,0.002939644265833147
something,627.0,0.002916387586514847
dont,623.0,0.0028977822430602067
face,606.0,0.0028187095333779863
still,601.0,0.0027954528540596857
go,587.0,0.0027303341519684453
think,584.0,0.0027163801443774653
come,576.0,0.0026791694574681848
didnt,576.0,0.0026791694574681848
going,573.0,0.002665215449877205
away,563.0,0.002618702091240604
hand,557.0,0.002590794076058644
derry,555.0,0.002581491404331324
even,554.0,0.0025768400684676638
went,553.0,0.002572188732604004
head,544.0,0.0025303267098310636
felt,539.0,0.0025070700305127635
two,532.0,0.002474510679467143
came,523.0,0.0024326486566942024
voice,501.0,0.0023303192676936814
old,486.0,0.002260549229738781
good,482.0,0.002241943886284141
almost,478.0,0.0022233385428295006
first,466.0,0.0021675225124655802
big,452.0,0.0021024038103743393
might,452.0,0.0021024038103743393
well,439.0,0.002041936444146759
never,429.0,0.0019954230855101585
maybe,426.0,0.0019814690779191785
hands,410.0,0.0019070477041006177
look,410.0,0.0019070477041006177
looking,409.0,0.0019023963682369576
made,406.0,0.0018884423606459774
want,402.0,0.0018698370171913374
really,399.0,0.0018558830096003572
much,395.0,0.0018372776661457172
street,393.0,0.001827974994418397
seemed,393.0,0.001827974994418397
day,385.0,0.0017907643075091167
turned,383.0,0.0017814616357817966
moment,374.0,0.0017395996130088562
stan,373.0,0.0017349482771451962
began,372.0,0.001730296941281536
last,370.0,0.001720994269554216
im,370.0,0.001720994269554216
left,362.0,0.0016837835826449357
man,352.0,0.0016372702240083352
long,347.0,0.001614013544690035
asked,347.0,0.001614013544690035
gone,345.0,0.001604710872962715
told,342.0,0.0015907568653717348
put,342.0,0.0015907568653717348
suddenly,340.0,0.0015814541936444147
knew,338.0,0.0015721515219170945
say,337.0,0.0015675001860534345
toward,336.0,0.0015628488501897744
mr,330.0,0.0015349408350078142
water,329.0,0.0015302894991441542
thing,328.0,0.0015256381632804941
thats,328.0,0.0015256381632804941
door,326.0,0.001516335491553174
side,325.0,0.0015116841556895141
years,323.0,0.001502381483962194
things,323.0,0.001502381483962194
sure,318.0,0.0014791248046438937
three,314.0,0.0014605194611892536
tell,313.0,0.0014558681253255936
sound,313.0,0.0014558681253255936
heard,306.0,0.0014233087742799731
enough,302.0,0.001404703430825333
wasnt,302.0,0.001404703430825333
white,296.0,0.0013767954156433727
took,291.0,0.0013535387363250726
feet,289.0,0.0013442360645977524
behind,285.0,0.0013256307211431124
ill,285.0,0.0013256307211431124
