Most common words,Absolute Frequency,Relative Frequency
paul,558.0,0.010129431626336522
annie,507.0,0.009203623359413292
said,445.0,0.008078130956487012
one,441.0,0.008005518543394994
like,426.0,0.007733221994299926
could,402.0,0.007297547515747817
back,384.0,0.0069707916568337355
thought,290.0,0.0052643999491713105
time,266.0,0.004828725470619202
looked,241.0,0.0043748978887940895
even,218.0,0.003957376513514985
right,206.0,0.003739539274238931
know,204.0,0.0037032330676929222
get,202.0,0.003666926861146913
way,189.0,0.003430936518597854
came,184.0,0.003340171002232832
might,183.0,0.003322017898959827
going,181.0,0.0032857116924138183
dont,177.0,0.0032130992793218
didnt,169.0,0.003067874453137764
eyes,169.0,0.003067874453137764
first,168.0,0.0030497213498647596
see,167.0,0.003031568246591755
little,165.0,0.0029952620400457456
good,158.0,0.0028681903171347144
two,158.0,0.0028681903171347144
think,155.0,0.0028137310073157004
door,155.0,0.0028137310073157004
face,153.0,0.0027774248007696916
pain,149.0,0.0027048123876776734
hand,149.0,0.0027048123876776734
something,149.0,0.0027048123876776734
away,145.0,0.0026321999745856552
got,145.0,0.0026321999745856552
go,144.0,0.002614046871312651
still,142.0,0.0025777406647666417
misery,142.0,0.0025777406647666417
im,141.0,0.0025595875614936375
well,139.0,0.002523281354947628
put,138.0,0.002505128251674624
come,137.0,0.0024869751484016193
saw,137.0,0.0024869751484016193
yes,136.0,0.0024688220451286147
almost,130.0,0.0023599034254905876
want,130.0,0.0023599034254905876
left,130.0,0.0023599034254905876
long,129.0,0.002341750322217583
began,127.0,0.002305444115671574
around,125.0,0.002269137909125565
old,124.0,0.0022509848058525606
ill,123.0,0.002232831702579556
never,120.0,0.0021783723927605424
knew,119.0,0.002160219289487538
book,118.0,0.0021420661862145336
look,117.0,0.002123913082941529
mind,116.0,0.0021057599796685243
much,116.0,0.0021057599796685243
went,110.0,0.0019968413600304972
enough,108.0,0.0019605351534844884
geoffrey,108.0,0.0019605351534844884
heard,106.0,0.001924228946938479
really,105.0,0.0019060758436654746
wilkes,104.0,0.0018879227403924702
maybe,104.0,0.0018879227403924702
things,103.0,0.0018697696371194656
made,101.0,0.0018334634305734565
last,99.0,0.0017971572240274476
looking,99.0,0.0017971572240274476
turned,99.0,0.0017971572240274476
seemed,98.0,0.001779004120754443
moment,96.0,0.0017426979142084339
make,94.0,0.001706391707662425
felt,94.0,0.001706391707662425
gone,93.0,0.0016882386043894203
youre,93.0,0.0016882386043894203
three,93.0,0.0016882386043894203
oh,92.0,0.001670085501116416
sure,92.0,0.001670085501116416
another,91.0,0.0016519323978434113
man,91.0,0.0016519323978434113
room,91.0,0.0016519323978434113
wasnt,90.0,0.0016337792945704068
legs,90.0,0.0016337792945704068
say,90.0,0.0016337792945704068
thats,89.0,0.0016156261912974024
paper,89.0,0.0016156261912974024
side,87.0,0.0015793199847513933
take,87.0,0.0015793199847513933
mouth,86.0,0.0015611668814783887
must,85.0,0.0015430137782053842
head,83.0,0.0015067075716593751
dead,82.0,0.0014885544683863707
day,81.0,0.001470401365113366
car,81.0,0.001470401365113366
always,80.0,0.0014522482618403616
nothing,80.0,0.0014522482618403616
life,79.0,0.0014340951585673572
god,78.0,0.0014159420552943525
annies,78.0,0.0014159420552943525
thing,77.0,0.0013977889520213481
