Most common words,Absolute Frequency,Relative Frequency
said,1155.0,0.014670578821018939
ben,680.0,0.00863722389462587
like,578.0,0.007341640310431988
one,506.0,0.006427110721589249
back,466.0,0.005919038727787727
looked,346.0,0.004394822746383162
could,319.0,0.004051874150567136
mark,308.0,0.003912154352271717
matt,300.0,0.0038105399535114126
got,297.0,0.0037724345539762983
eyes,295.0,0.0037470309542862222
house,280.0,0.0035565039566106517
know,273.0,0.0034675913576953854
dont,271.0,0.0034421877580053093
went,263.0,0.003340573359245005
jimmy,262.0,0.003327871559399967
around,261.0,0.003315169759554929
town,254.0,0.0032262571606396628
see,245.0,0.0031119409620343204
go,237.0,0.0030103265632740158
think,236.0,0.002997624763428978
going,234.0,0.002972221163738902
time,232.0,0.002946817564048826
old,225.0,0.0028579049651335595
little,225.0,0.0028579049651335595
face,222.0,0.0028197995655984453
come,220.0,0.002794395965908369
thought,219.0,0.002781694166063331
right,218.0,0.002768992366218293
man,216.0,0.002743588766528217
something,215.0,0.002730886966683179
door,214.0,0.002718185166838141
lot,211.0,0.002680079767303027
away,208.0,0.0026419743677679125
im,207.0,0.0026292725679228747
get,205.0,0.0026038689682327987
still,203.0,0.0025784653685427227
yes,199.0,0.00252765816916257
two,195.0,0.002476850969782418
hand,193.0,0.002451447370092342
well,185.0,0.002349832971332038
good,175.0,0.0022228149728816572
even,175.0,0.0022228149728816572
susan,175.0,0.0022228149728816572
asked,172.0,0.0021847095733465434
boy,167.0,0.002121200574121353
way,165.0,0.002095796974431277
came,164.0,0.0020830951745862388
night,161.0,0.002044989775051125
turned,159.0,0.0020195861753610485
callahan,158.0,0.0020068843755160107
first,156.0,0.0019814807758259346
seemed,155.0,0.0019687789759808964
put,154.0,0.0019560771761358586
hands,152.0,0.0019306735764457823
room,152.0,0.0019306735764457823
left,151.0,0.0019179717766007443
took,150.0,0.0019052699767557063
thats,150.0,0.0019052699767557063
father,145.0,0.0018417609775305162
look,145.0,0.0018417609775305162
saw,143.0,0.00181635737784044
almost,142.0,0.001803655577995402
head,142.0,0.001803655577995402
made,140.0,0.0017782519783053259
mr,139.0,0.0017655501784602878
felt,136.0,0.0017274447789251738
didnt,133.0,0.0016893393793900595
want,132.0,0.0016766375795450215
began,131.0,0.0016639357796999835
never,131.0,0.0016639357796999835
gone,131.0,0.0016639357796999835
new,129.0,0.0016385321800099074
light,127.0,0.0016131285803198314
might,126.0,0.0016004267804747934
window,126.0,0.0016004267804747934
looking,125.0,0.0015877249806297553
years,124.0,0.001575023180784717
small,123.0,0.001562321380939679
dark,123.0,0.001562321380939679
last,122.0,0.001549619581094641
open,122.0,0.001549619581094641
parkins,122.0,0.001549619581094641
let,122.0,0.001549619581094641
marsten,121.0,0.001536917781249603
day,117.0,0.001486110581869451
long,116.0,0.001473408782024413
told,116.0,0.001473408782024413
hes,116.0,0.001473408782024413
mike,116.0,0.001473408782024413
dead,115.0,0.001460706982179375
three,114.0,0.0014480051823343367
behind,111.0,0.0014098997827992226
car,111.0,0.0014098997827992226
straker,111.0,0.0014098997827992226
nothing,110.0,0.0013971979829541846
much,109.0,0.0013844961831091466
things,108.0,0.0013717943832641086
road,107.0,0.0013590925834190705
people,106.0,0.0013463907835740325
