Most common words,Absolute Frequency,Relative Frequency
said,810.0,0.012445072673078697
eddie,677.0,0.010401622468733676
one,583.0,0.008957379467166519
roland,579.0,0.008895922318163661
susannah,477.0,0.007328765018590788
like,385.0,0.005915250591525059
mia,380.0,0.005838429155271487
back,341.0,0.0052392219524936235
could,321.0,0.004931936207479335
jake,297.0,0.004563193313462189
right,288.0,0.004424914728205758
know,277.0,0.0042559075684479
time,274.0,0.004209814706695757
looked,243.0,0.0037335218019236087
callahan,232.0,0.00356451464216575
dont,232.0,0.00356451464216575
little,219.0,0.0033647789079064624
go,215.0,0.0033033217589036046
thought,213.0,0.0032725931844021757
tower,208.0,0.0031957717481486034
man,196.0,0.00301140030114003
think,190.0,0.0029192145776357433
way,186.0,0.0028577574286328855
king,185.0,0.002842393141382171
eyes,181.0,0.0027809359923793137
got,181.0,0.0027809359923793137
even,179.0,0.002750207417877885
didnt,176.0,0.0027041145561257415
get,175.0,0.002688750268875027
something,175.0,0.002688750268875027
well,173.0,0.002658021694373598
still,171.0,0.002627293119872169
see,171.0,0.002627293119872169
im,171.0,0.002627293119872169
say,170.0,0.0026119288326214548
head,166.0,0.002550471683618597
might,163.0,0.0025043788218664536
first,156.0,0.0023968288111114525
saw,155.0,0.002381464523860738
two,149.0,0.0022892788003564513
woman,149.0,0.0022892788003564513
made,148.0,0.002273914513105737
door,147.0,0.0022585502258550224
come,147.0,0.0022585502258550224
hand,145.0,0.0022278216513535935
voice,141.0,0.002166364502350736
yes,141.0,0.002166364502350736
long,140.0,0.0021510002151000217
came,139.0,0.0021356359278493072
around,133.0,0.0020434502043450205
going,130.0,0.001997357342592877
knew,129.0,0.0019819930553421627
much,128.0,0.0019666287680914483
side,128.0,0.0019666287680914483
asked,125.0,0.001920535906339305
never,124.0,0.0019051716190885905
old,123.0,0.001889807331837876
tell,123.0,0.001889807331837876
good,123.0,0.001889807331837876
another,122.0,0.0018744430445871616
new,121.0,0.0018590787573364471
thing,118.0,0.0018129858955843038
went,118.0,0.0018129858955843038
want,118.0,0.0018129858955843038
world,113.0,0.0017361644593307315
almost,112.0,0.0017208001720800173
look,109.0,0.001674707310327874
thats,109.0,0.001674707310327874
felt,108.0,0.0016593430230771595
maybe,107.0,0.001643978735826445
dark,105.0,0.0016132501613250162
behind,105.0,0.0016132501613250162
hed,103.0,0.0015825215868235873
youre,103.0,0.0015825215868235873
seemed,103.0,0.0015825215868235873
also,102.0,0.0015671572995728728
last,101.0,0.0015517930123221584
left,100.0,0.001536428725071444
put,99.0,0.0015210644378207295
nodded,99.0,0.0015210644378207295
wasnt,99.0,0.0015210644378207295
face,98.0,0.001505700150570015
hands,97.0,0.0014903358633193006
least,97.0,0.0014903358633193006
name,97.0,0.0014903358633193006
sure,96.0,0.0014749715760685861
turned,96.0,0.0014749715760685861
black,94.0,0.0014442430015671572
us,94.0,0.0014442430015671572
john,94.0,0.0014442430015671572
hear,93.0,0.0014288787143164428
moment,93.0,0.0014288787143164428
took,92.0,0.0014135144270657283
enough,92.0,0.0014135144270657283
gone,91.0,0.001398150139815014
feel,89.0,0.0013674215653135852
shed,87.0,0.0013366929908121563
make,86.0,0.0013213287035614418
away,86.0,0.0013213287035614418
ill,85.0,0.0013059644163107274
