Most common words,Absolute Frequency,Relative Frequency
roland,1773.0,0.012657685635347284
said,1514.0,0.010808649775474218
one,1428.0,0.01019468420038123
like,828.0,0.005911203443918528
susannah,812.0,0.005796977290412856
could,790.0,0.005639916329342557
back,760.0,0.005425742291519422
jake,740.0,0.005282959599637332
eddie,652.0,0.0046547157553561355
time,631.0,0.004504793928879941
thought,580.0,0.004140698064580612
know,506.0,0.0036124021046168783
looked,495.0,0.0035338716240817286
eyes,484.0,0.0034553411435465794
even,471.0,0.0033625323938232207
see,467.0,0.0033339758554468027
still,446.0,0.003184054028970608
well,444.0,0.003169775759782399
didnt,443.0,0.0031626366251882947
head,436.0,0.003112662683029563
old,433.0,0.0030912452792472497
go,425.0,0.0030341322024944137
little,423.0,0.0030198539333062047
might,423.0,0.0030198539333062047
way,421.0,0.0030055756641179958
come,416.0,0.002969879991147473
two,407.0,0.0029056277798005328
man,389.0,0.0027771233571066514
right,381.0,0.0027200102803538154
dont,373.0,0.0026628972036009794
say,371.0,0.0026486189344127704
never,371.0,0.0026486189344127704
first,362.0,0.00258436672306583
made,351.0,0.0025058362425306804
oy,348.0,0.0024844188387483667
good,348.0,0.0024844188387483667
asked,346.0,0.0024701405695601577
think,342.0,0.0024415840311837397
long,321.0,0.0022916622047075455
around,314.0,0.0022416882625488138
saw,313.0,0.0022345491279547095
something,312.0,0.002227409993360605
tower,298.0,0.002127462109043142
hand,297.0,0.002120322974449037
came,297.0,0.002120322974449037
enough,293.0,0.002091766436072619
side,292.0,0.002084627301478515
thing,290.0,0.002070349032290306
die,289.0,0.002063209897696201
door,288.0,0.002056070763102097
look,288.0,0.002056070763102097
face,286.0,0.002041792493913888
patrick,286.0,0.002041792493913888
hed,282.0,0.00201323595553747
king,280.0,0.001998957686349261
last,279.0,0.001991818551755156
ted,275.0,0.001963262013378738
much,274.0,0.001956122878784634
voice,274.0,0.001956122878784634
knew,273.0,0.0019489837441905291
almost,267.0,0.0019061489366259021
get,265.0,0.0018918706674376931
dark,263.0,0.0018775923982494841
another,257.0,0.0018347575906848572
turned,251.0,0.0017919227831202302
yes,250.0,0.0017847836485261257
left,246.0,0.0017562271101497077
away,241.0,0.0017205314371791852
hands,241.0,0.0017205314371791852
put,240.0,0.0017133923025850807
three,239.0,0.0017062531679909762
tell,236.0,0.0016848357642086627
gunslinger,236.0,0.0016848357642086627
least,236.0,0.0016848357642086627
looking,236.0,0.0016848357642086627
end,231.0,0.0016491400912381402
sure,229.0,0.0016348618220499312
told,227.0,0.0016205835528617222
make,226.0,0.0016134444182676175
got,221.0,0.001577748745297095
gone,218.0,0.0015563313415147815
world,215.0,0.001534913937732468
us,214.0,0.0015277748031383635
behind,214.0,0.0015277748031383635
moment,210.0,0.0014992182647619455
place,210.0,0.0014992182647619455
took,209.0,0.001492079130167841
called,208.0,0.0014849399955737365
wasnt,208.0,0.0014849399955737365
im,208.0,0.0014849399955737365
hes,208.0,0.0014849399955737365
boy,206.0,0.0014706617263855275
going,206.0,0.0014706617263855275
nodded,205.0,0.001463522591791423
mordred,205.0,0.001463522591791423
want,204.0,0.0014563834571973185
take,203.0,0.001449244322603214
also,200.0,0.0014278269188209005
may,199.0,0.001420687784226796
mind,196.0,0.0013992703804444825
