Most common words,Absolute Frequency,Relative Frequency
johnny,1385.0,0.017956463678676537
said,1132.0,0.014676329880333459
one,578.0,0.007493744408862844
like,567.0,0.007351129895891406
back,476.0,0.006171318924945871
dont,329.0,0.00426547043341847
could,313.0,0.004058031141823651
right,302.0,0.003915416628852212
man,302.0,0.003915416628852212
time,300.0,0.00388948671740286
know,297.0,0.0038505918502288313
going,283.0,0.0036690824700833648
sarah,276.0,0.0035783277800106312
looked,273.0,0.0035394329128366027
little,269.0,0.0034875730899378977
get,265.0,0.0034357132670391932
im,260.0,0.003370888488415812
got,254.0,0.003293098754067755
way,248.0,0.0032153090197196976
good,247.0,0.0032023440639950213
think,241.0,0.003124554329646964
two,240.0,0.003111589373922288
thought,240.0,0.003111589373922288
go,238.0,0.0030856594624729355
eyes,235.0,0.003046764595298907
come,234.0,0.003033799639574231
see,228.0,0.002956009905226174
came,218.0,0.0028263603479794118
greg,218.0,0.0028263603479794118
yes,216.0,0.002800430436530059
went,214.0,0.002774500525080707
something,214.0,0.002774500525080707
stillson,210.0,0.002722640702182002
face,206.0,0.0026707808792832974
want,206.0,0.0026707808792832974
around,205.0,0.002657815923558621
well,205.0,0.002657815923558621
didnt,202.0,0.0026189210563845925
asked,201.0,0.002605956100659916
still,188.0,0.0024374116762391255
hand,182.0,0.0023596219418910683
put,181.0,0.0023466569861663924
away,176.0,0.002281832207543011
smith,175.0,0.002268867251818335
people,174.0,0.002255902296093659
thats,173.0,0.0022429373403689825
herb,172.0,0.0022299723846443066
head,171.0,0.0022170074289196303
never,169.0,0.002191077517470278
long,164.0,0.0021262527388468968
old,163.0,0.0021132877831222204
new,162.0,0.0021003228273975445
god,162.0,0.0021003228273975445
voice,161.0,0.002087357871672868
bannerman,161.0,0.002087357871672868
began,159.0,0.002061427960223516
years,151.0,0.001957708314426106
say,151.0,0.001957708314426106
chuck,147.0,0.0019058484915274014
made,144.0,0.0018669536243533728
seemed,143.0,0.0018539886686286967
tell,143.0,0.0018539886686286967
youre,143.0,0.0018539886686286967
johnnys,140.0,0.001815093801454668
turned,139.0,0.0018021288457299917
much,139.0,0.0018021288457299917
maybe,139.0,0.0018021288457299917
felt,137.0,0.0017761989342806395
thing,136.0,0.0017632339785559632
nothing,135.0,0.001750269022831287
told,132.0,0.0017113741556572584
first,129.0,0.0016724792884832299
hands,128.0,0.0016595143327585535
sure,127.0,0.0016465493770338774
vera,127.0,0.0016465493770338774
might,127.0,0.0016465493770338774
hes,126.0,0.0016335844213092013
things,126.0,0.0016335844213092013
looking,125.0,0.001620619465584525
weizak,125.0,0.001620619465584525
house,124.0,0.0016076545098598488
really,123.0,0.0015946895541351727
mother,121.0,0.0015687596426858202
almost,121.0,0.0015687596426858202
left,121.0,0.0015687596426858202
even,119.0,0.0015428297312364678
look,118.0,0.0015298647755117916
last,117.0,0.0015168998197871155
town,115.0,0.001490969908337763
gone,114.0,0.001478004952613087
saw,112.0,0.0014520750411637345
behind,112.0,0.0014520750411637345
room,111.0,0.0014391100854390581
ill,110.0,0.001426145129714382
three,109.0,0.0014131801739897059
guy,108.0,0.0014002152182650295
night,107.0,0.0013872502625403534
another,107.0,0.0013872502625403534
wasnt,107.0,0.0013872502625403534
mr,106.0,0.0013742853068156773
