Most common words,Absolute Frequency,Relative Frequency
eddie,1124.0,0.01781949046403602
said,678.0,0.010748767379551976
one,599.0,0.009496329882524534
like,551.0,0.008735355200786341
gunslinger,469.0,0.007435356786150261
roland,465.0,0.007371942229338744
could,429.0,0.0068012112180351
back,385.0,0.006103651093108423
thought,347.0,0.00550121280339902
looked,336.0,0.005326822772167351
man,327.0,0.00518414001934144
time,308.0,0.004882920874486738
right,290.0,0.004597555368834916
know,276.0,0.004375604419994609
dont,255.0,0.004042677996734151
eyes,246.0,0.003899995243908239
saw,237.0,0.003757312491082328
door,229.0,0.003630483377459296
didnt,228.0,0.0036146297382564168
little,227.0,0.0035987760990535377
see,224.0,0.0035512151814449007
something,219.0,0.0034719469854305055
way,210.0,0.003329264232604594
might,203.0,0.003218288758184441
get,201.0,0.0031865814797786833
still,198.0,0.003139020562170046
go,197.0,0.0031231669229671672
two,194.0,0.00307560600535853
going,192.0,0.003043898726952772
got,191.0,0.003028045087749893
hand,190.0,0.0030121914485470138
think,189.0,0.002996337809344135
first,183.0,0.0029012159741268607
come,181.0,0.002869508695721103
henry,181.0,0.002869508695721103
even,180.0,0.0028536550565182238
want,179.0,0.0028378014173153446
voice,173.0,0.0027426795820980707
head,171.0,0.0027109723036923125
left,164.0,0.0025999968292721594
im,163.0,0.0025841431900692803
thing,161.0,0.0025524359116635225
knew,161.0,0.0025524359116635225
around,160.0,0.0025365822724606434
well,160.0,0.0025365822724606434
away,144.0,0.002282924045214579
asked,144.0,0.002282924045214579
long,143.0,0.0022670704060117
good,143.0,0.0022670704060117
face,143.0,0.0022670704060117
nothing,141.0,0.002235363127605942
world,139.0,0.002203655849200184
made,139.0,0.002203655849200184
enough,138.0,0.0021878022099973047
really,136.0,0.002156094931591547
gun,135.0,0.0021402412923886677
moment,135.0,0.0021402412923886677
came,134.0,0.0021243876531857886
maybe,134.0,0.0021243876531857886
gone,133.0,0.00210853401398291
never,133.0,0.00210853401398291
look,133.0,0.00210853401398291
woman,132.0,0.0020926803747800308
things,131.0,0.0020768267355771516
felt,130.0,0.0020609730963742725
detta,128.0,0.0020292658179685147
balazar,126.0,0.0019975585395627564
last,122.0,0.0019341439827512406
jack,121.0,0.0019182903435483614
much,120.0,0.0019024367043454825
thats,120.0,0.0019024367043454825
take,120.0,0.0019024367043454825
odetta,120.0,0.0019024367043454825
another,118.0,0.0018707294259397245
went,118.0,0.0018707294259397245
mind,116.0,0.0018390221475339664
looking,115.0,0.0018231685083310873
almost,115.0,0.0018231685083310873
three,112.0,0.0017756075907224503
yes,112.0,0.0017756075907224503
turned,112.0,0.0017756075907224503
wasnt,110.0,0.0017439003123166923
put,106.0,0.0016804857555051762
eddies,106.0,0.0016804857555051762
place,105.0,0.001664632116302297
youre,105.0,0.001664632116302297
seemed,104.0,0.0016487784770994182
hands,103.0,0.001632924837896539
heard,101.0,0.001601217559490781
black,99.0,0.001569510281085023
make,99.0,0.001569510281085023
body,98.0,0.001553656641882144
white,97.0,0.001537803002679265
say,97.0,0.001537803002679265
seen,96.0,0.001521949363476386
took,95.0,0.0015060957242735069
people,93.0,0.0014743884458677488
toward,92.0,0.00145853480666487
better,89.0,0.0014109738890562328
suddenly,88.0,0.0013951202498533538
