Most common words,Absolute Frequency,Relative Frequency
trisha,476.0,0.015501856314726763
like,266.0,0.008662802058229661
one,254.0,0.0082719989578584
back,250.0,0.008141731257734645
could,209.0,0.006806487331466163
little,203.0,0.006611085781280532
said,192.0,0.006252849605940207
looked,142.0,0.004624503354393278
thought,140.0,0.004559369504331401
still,136.0,0.004429101804207647
woods,133.0,0.004331401029114831
didnt,128.0,0.004168566403960138
around,127.0,0.0041359994789292
right,120.0,0.003908031003712629
way,117.0,0.003810330228619814
got,114.0,0.003712629453526998
even,114.0,0.003712629453526998
time,114.0,0.003712629453526998
tom,108.0,0.0035172279033413665
eyes,106.0,0.0034520940532794895
something,102.0,0.003321826353155735
stream,102.0,0.003321826353155735
head,99.0,0.003224125578062919
water,98.0,0.0031915586530319806
away,94.0,0.003061290952908226
wasnt,90.0,0.0029310232527844722
first,88.0,0.002865889402722595
saw,88.0,0.002865889402722595
came,86.0,0.002800755552660718
thing,86.0,0.002800755552660718
get,84.0,0.002735621702598841
see,82.0,0.0026704878525369634
come,81.0,0.002637920927506025
voice,81.0,0.002637920927506025
trees,80.0,0.0026053540024750864
felt,79.0,0.002572787077444148
two,77.0,0.0025076532273822704
gordon,76.0,0.002475086302351332
lost,76.0,0.002475086302351332
gone,76.0,0.002475086302351332
side,76.0,0.002475086302351332
go,75.0,0.0024425193773203934
seemed,74.0,0.002409952452289455
pack,74.0,0.002409952452289455
made,72.0,0.0023448186022275775
hand,72.0,0.0023448186022275775
face,71.0,0.002312251677196639
looking,70.0,0.0022796847521657005
began,70.0,0.0022796847521657005
might,70.0,0.0022796847521657005
couldnt,69.0,0.002247117827134762
tree,68.0,0.0022145509021038235
going,68.0,0.0022145509021038235
almost,67.0,0.0021819839770728846
god,67.0,0.0021819839770728846
last,66.0,0.002149417052041946
know,65.0,0.0021168501270110076
turned,65.0,0.0021168501270110076
feet,65.0,0.0021168501270110076
old,64.0,0.002084283201980069
red,64.0,0.002084283201980069
went,63.0,0.0020517162769491306
dont,63.0,0.0020517162769491306
another,63.0,0.0020517162769491306
put,61.0,0.001986582426887253
nothing,60.0,0.0019540155018563147
left,60.0,0.0019540155018563147
sound,59.0,0.0019214485768253762
three,59.0,0.0019214485768253762
much,58.0,0.0018888816517944377
knew,57.0,0.001856314726763499
long,57.0,0.001856314726763499
maybe,55.0,0.0017911808767016217
shed,55.0,0.0017911808767016217
think,54.0,0.0017586139516706832
pete,54.0,0.0017586139516706832
mother,54.0,0.0017586139516706832
sox,53.0,0.0017260470266397447
mom,53.0,0.0017260470266397447
never,53.0,0.0017260470266397447
sure,53.0,0.0017260470266397447
wanted,52.0,0.001693480101608806
took,51.0,0.0016609131765778675
big,51.0,0.0016609131765778675
behind,50.0,0.001628346251546929
bushes,50.0,0.001628346251546929
road,50.0,0.001628346251546929
good,49.0,0.0015957793265159903
top,49.0,0.0015957793265159903
cold,49.0,0.0015957793265159903
well,48.0,0.0015632124014850518
least,48.0,0.0015632124014850518
black,48.0,0.0015632124014850518
toward,48.0,0.0015632124014850518
hands,48.0,0.0015632124014850518
place,47.0,0.001530645476454113
stood,47.0,0.001530645476454113
started,46.0,0.0014980785514231746
mouth,45.0,0.0014655116263922361
walked,45.0,0.0014655116263922361
