Most common words,Absolute Frequency,Relative Frequency
gunslinger,540.0,0.01888111888111888
said,314.0,0.01097902097902098
boy,268.0,0.009370629370629371
man,239.0,0.008356643356643356
one,191.0,0.006678321678321678
black,185.0,0.006468531468531468
like,183.0,0.006398601398601399
back,168.0,0.005874125874125874
looked,146.0,0.005104895104895105
jake,131.0,0.00458041958041958
face,125.0,0.004370629370629371
eyes,116.0,0.004055944055944056
could,112.0,0.003916083916083916
know,107.0,0.0037412587412587414
time,107.0,0.0037412587412587414
light,92.0,0.0032167832167832168
head,90.0,0.003146853146853147
dont,88.0,0.003076923076923077
way,87.0,0.003041958041958042
made,85.0,0.002972027972027972
come,84.0,0.002937062937062937
cort,84.0,0.002937062937062937
went,83.0,0.002902097902097902
seemed,81.0,0.002832167832167832
hands,80.0,0.002797202797202797
came,77.0,0.002692307692307692
go,77.0,0.002692307692307692
thought,76.0,0.0026573426573426573
even,75.0,0.0026223776223776225
away,73.0,0.0025524475524475523
felt,73.0,0.0025524475524475523
see,72.0,0.0025174825174825175
hand,71.0,0.0024825174825174826
began,68.0,0.0023776223776223776
roland,68.0,0.0023776223776223776
still,67.0,0.0023426573426573428
might,65.0,0.0022727272727272726
perhaps,65.0,0.0022727272727272726
boys,65.0,0.0022727272727272726
two,64.0,0.0022377622377622378
almost,63.0,0.002202797202797203
right,63.0,0.002202797202797203
cuthbert,63.0,0.002202797202797203
yes,62.0,0.002167832167832168
around,61.0,0.0021328671328671328
three,61.0,0.0021328671328671328
asked,61.0,0.0021328671328671328
turned,61.0,0.0021328671328671328
first,61.0,0.0021328671328671328
desert,59.0,0.002062937062937063
stood,59.0,0.002062937062937063
last,59.0,0.002062937062937063
saw,57.0,0.001993006993006993
never,57.0,0.001993006993006993
yet,56.0,0.001958041958041958
left,56.0,0.001958041958041958
dark,55.0,0.0019230769230769232
long,55.0,0.0019230769230769232
sound,55.0,0.0019230769230769232
father,55.0,0.0019230769230769232
little,54.0,0.0018881118881118881
water,54.0,0.0018881118881118881
old,54.0,0.0018881118881118881
gone,54.0,0.0018881118881118881
brown,53.0,0.0018531468531468533
think,53.0,0.0018531468531468533
world,52.0,0.0018181818181818182
fire,52.0,0.0018181818181818182
moment,52.0,0.0018181818181818182
mind,49.0,0.0017132867132867134
held,48.0,0.0016783216783216783
nothing,47.0,0.0016433566433566435
huge,46.0,0.0016083916083916084
walked,46.0,0.0016083916083916084
im,46.0,0.0016083916083916084
voice,45.0,0.0015734265734265735
toward,44.0,0.0015384615384615385
dead,43.0,0.0015034965034965036
knew,43.0,0.0015034965034965036
put,43.0,0.0015034965034965036
place,43.0,0.0015034965034965036
across,42.0,0.0014685314685314685
moved,42.0,0.0014685314685314685
didnt,42.0,0.0014685314685314685
sat,42.0,0.0014685314685314685
going,42.0,0.0014685314685314685
fell,42.0,0.0014685314685314685
years,41.0,0.0014335664335664337
nodded,41.0,0.0014335664335664337
sleep,41.0,0.0014335664335664337
make,40.0,0.0013986013986013986
gunslingers,40.0,0.0013986013986013986
end,40.0,0.0013986013986013986
got,40.0,0.0013986013986013986
let,40.0,0.0013986013986013986
side,39.0,0.0013636363636363637
behind,39.0,0.0013636363636363637
wind,39.0,0.0013636363636363637
day,39.0,0.0013636363636363637
something,39.0,0.0013636363636363637
