Most common words,Absolute Frequency,Relative Frequency
roland,246.0,0.020950434338272865
like,119.0,0.010134559700221427
one,115.0,0.009793902231306422
sister,104.0,0.008857094191790154
said,100.0,0.008516436722875149
back,89.0,0.007579628683358882
could,78.0,0.006642820643842616
thought,65.0,0.005535683869868847
ye,63.0,0.005365355135411344
jenna,60.0,0.005109862033725089
looked,59.0,0.005024697666496338
bells,55.0,0.004684040197581332
eyes,55.0,0.004684040197581332
still,52.0,0.004428547095895077
hand,52.0,0.004428547095895077
well,50.0,0.0042582183614375746
little,50.0,0.0042582183614375746
saw,48.0,0.004087889626980072
way,46.0,0.0039175608925225685
perhaps,45.0,0.003832396525293817
head,45.0,0.003832396525293817
dark,44.0,0.0037472321580650655
mary,43.0,0.003662067790836314
man,41.0,0.003491739056378811
sisters,41.0,0.003491739056378811
around,39.0,0.003321410321921308
might,39.0,0.003321410321921308
away,38.0,0.003236245954692557
see,37.0,0.003151081587463805
seemed,35.0,0.002980752853006302
time,35.0,0.002980752853006302
know,33.0,0.002810424118548799
gunslinger,32.0,0.0027252597513200477
long,32.0,0.0027252597513200477
side,31.0,0.0026400953840912964
face,31.0,0.0026400953840912964
medallion,31.0,0.0026400953840912964
norman,31.0,0.0026400953840912964
came,29.0,0.0024697666496337933
wasnt,29.0,0.0024697666496337933
think,29.0,0.0024697666496337933
took,29.0,0.0024697666496337933
white,28.0,0.0023846022824050416
voice,28.0,0.0023846022824050416
bed,28.0,0.0023846022824050416
didnt,27.0,0.0022994379151762903
never,27.0,0.0022994379151762903
go,27.0,0.0022994379151762903
two,26.0,0.0022142735479475386
beneath,26.0,0.0022142735479475386
black,26.0,0.0022142735479475386
last,25.0,0.0021291091807187873
sound,25.0,0.0021291091807187873
far,25.0,0.0021291091807187873
empty,25.0,0.0021291091807187873
green,25.0,0.0021291091807187873
made,25.0,0.0021291091807187873
turned,25.0,0.0021291091807187873
bugs,25.0,0.0021291091807187873
hands,25.0,0.0021291091807187873
good,24.0,0.002043944813490036
rolands,24.0,0.002043944813490036
john,24.0,0.002043944813490036
fingers,23.0,0.0019587804462612842
singing,23.0,0.0019587804462612842
knew,23.0,0.0019587804462612842
yet,23.0,0.0019587804462612842
nothing,23.0,0.0019587804462612842
coquina,23.0,0.0019587804462612842
low,22.0,0.0018736160790325327
others,22.0,0.0018736160790325327
old,22.0,0.0018736160790325327
first,22.0,0.0018736160790325327
dont,22.0,0.0018736160790325327
heard,21.0,0.0017884517118037812
dead,21.0,0.0017884517118037812
end,21.0,0.0017884517118037812
come,21.0,0.0017884517118037812
place,21.0,0.0017884517118037812
louise,21.0,0.0017884517118037812
even,20.0,0.00170328734457503
done,20.0,0.00170328734457503
moment,20.0,0.00170328734457503
least,20.0,0.00170328734457503
left,20.0,0.00170328734457503
boy,20.0,0.00170328734457503
get,20.0,0.00170328734457503
skin,20.0,0.00170328734457503
tried,20.0,0.00170328734457503
put,20.0,0.00170328734457503
felt,20.0,0.00170328734457503
stood,19.0,0.0016181229773462784
neck,19.0,0.0016181229773462784
lay,19.0,0.0016181229773462784
went,19.0,0.0016181229773462784
thing,19.0,0.0016181229773462784
almost,19.0,0.0016181229773462784
enough,19.0,0.0016181229773462784
eluria,19.0,0.0016181229773462784
began,19.0,0.0016181229773462784
