Most common words,Absolute Frequency,Relative Frequency
danny,909.0,0.011042676482379096
said,814.0,0.009888601382460489
jack,749.0,0.009098971050937231
like,640.0,0.00777482172576746
back,582.0,0.007070228506869784
one,528.0,0.006414227923758155
could,466.0,0.005661042069074432
wendy,359.0,0.004361189061797685
hallorann,335.0,0.004069633247081404
get,319.0,0.0038752627039372184
right,317.0,0.003850966386044195
around,314.0,0.00381452190920466
little,305.0,0.003705188478686055
dont,292.0,0.0035472624123814036
come,291.0,0.003535114253434892
daddy,287.0,0.0034865216176488455
time,269.0,0.0032678547566116355
looked,263.0,0.0031949658029325656
way,259.0,0.003146373167146519
know,258.0,0.003134225008200007
see,248.0,0.0030127434187348905
hand,246.0,0.0029884471008418674
go,246.0,0.0029884471008418674
still,241.0,0.0029277063061093093
door,240.0,0.0029155581471627975
didnt,237.0,0.0028791136703232626
two,235.0,0.002854817352430239
thought,231.0,0.0028062247166441927
got,231.0,0.0028062247166441927
face,220.0,0.0026725949682325644
came,215.0,0.0026118541735000063
went,213.0,0.0025875578556069827
going,203.0,0.002466076266141866
head,202.0,0.0024539281071953543
things,201.0,0.002441779948248843
even,200.0,0.002429631789302331
eyes,199.0,0.0024174836303558194
something,197.0,0.0023931873124627963
think,195.0,0.002368890994569773
hotel,188.0,0.0022838538819441915
away,185.0,0.0022474094051046565
overlook,181.0,0.00219881676931861
began,179.0,0.0021745204514255862
ullman,177.0,0.002150224133532563
turned,173.0,0.0021016314977465164
room,172.0,0.002089483338800005
boy,171.0,0.0020773351798534932
never,170.0,0.0020651870209069815
man,169.0,0.00205303886196047
long,169.0,0.00205303886196047
old,169.0,0.00205303886196047
seemed,166.0,0.0020165943851209347
put,165.0,0.0020044462261744234
want,165.0,0.0020044462261744234
snow,165.0,0.0020044462261744234
hands,164.0,0.0019922980672279116
might,163.0,0.0019801499082814
voice,161.0,0.0019558535903883767
bad,160.0,0.001943705431441865
behind,159.0,0.0019315572724953533
mr,158.0,0.0019194091135488417
three,155.0,0.0018829646367093068
im,154.0,0.001870816477762795
yes,153.0,0.0018586683188162834
thing,152.0,0.0018465201598697717
good,149.0,0.0018100756830302367
much,149.0,0.0018100756830302367
almost,149.0,0.0018100756830302367
made,148.0,0.0017979275240837251
take,144.0,0.0017493348882976784
well,143.0,0.0017371867293511669
first,142.0,0.001725038570404655
looking,141.0,0.0017128904114581435
sound,139.0,0.0016885940935651201
last,135.0,0.0016400014577790736
left,135.0,0.0016400014577790736
dannys,135.0,0.0016400014577790736
saw,134.0,0.0016278532988325618
felt,131.0,0.001591408821993027
son,130.0,0.0015792606630465153
sure,128.0,0.001554964345153492
tony,128.0,0.001554964345153492
torrance,127.0,0.0015428161862069804
asked,127.0,0.0015428161862069804
floor,126.0,0.0015306680272604686
ill,126.0,0.0015306680272604686
oh,126.0,0.0015306680272604686
place,124.0,0.0015063717093674453
thats,122.0,0.0014820753914744221
nothing,121.0,0.0014699272325279103
knew,119.0,0.0014456309146348872
mind,118.0,0.0014334827556883754
gone,118.0,0.0014334827556883754
another,117.0,0.0014213345967418638
father,117.0,0.0014213345967418638
let,117.0,0.0014213345967418638
maybe,116.0,0.001409186437795352
small,113.0,0.0013727419609558171
side,112.0,0.0013605938020093055
moment,111.0,0.0013484456430627938
