Most common words,Absolute Frequency,Relative Frequency
jake,1138.0,0.012848159145563547
eddie,1106.0,0.012486875232858772
roland,1012.0,0.011425603739288496
said,896.0,0.010115949555733689
like,739.0,0.008343400359025888
one,677.0,0.007643412778160387
susannah,530.0,0.005983764804172829
back,460.0,0.005193456245131135
looked,453.0,0.0051144253892269655
could,441.0,0.004978943921962675
thought,386.0,0.004357987197001344
time,357.0,0.004030573651112641
eyes,342.0,0.0038612218170322784
voice,329.0,0.0037144502274959637
old,325.0,0.003669289738407867
right,325.0,0.003669289738407867
know,302.0,0.00340961692615131
see,298.0,0.0033644564370632134
hand,282.0,0.0031838144807108263
dont,282.0,0.0031838144807108263
little,281.0,0.003172524358438802
still,276.0,0.003116073747078681
around,269.0,0.0030370428911745116
man,266.0,0.0030031725243584387
blaine,261.0,0.002946721912998318
head,257.0,0.002901561423910221
way,254.0,0.0028676910570941483
saw,251.0,0.0028338206902780755
didnt,248.0,0.002799950323462003
go,248.0,0.002799950323462003
face,247.0,0.002788660201189979
something,247.0,0.002788660201189979
come,243.0,0.002743499712101882
long,243.0,0.002743499712101882
asked,240.0,0.0027096293452858094
began,238.0,0.0026870491007417612
think,234.0,0.002641888611653664
well,231.0,0.0026080182448375917
might,219.0,0.0024725367775733013
look,217.0,0.0024499565330292528
two,216.0,0.0024386664107572285
even,213.0,0.0024047960439411557
left,200.0,0.0022580244544048414
im,198.0,0.002235444209860793
gunslinger,195.0,0.00220157384304472
came,194.0,0.0021902837207726958
away,189.0,0.002133833109412575
world,188.0,0.0021225429871405506
going,186.0,0.0020999627425965024
oy,182.0,0.0020548022535084053
almost,181.0,0.0020435121312363815
good,181.0,0.0020435121312363815
get,178.0,0.0020096417644203087
looking,178.0,0.0020096417644203087
seemed,176.0,0.00198706151987626
felt,172.0,0.0019419010307881635
moment,171.0,0.0019306109085161392
place,168.0,0.0018967405417000666
boy,168.0,0.0018967405417000666
turned,165.0,0.001862870174883994
first,164.0,0.0018515800526119697
knew,163.0,0.0018402899303399457
yes,162.0,0.0018289998080679214
want,160.0,0.001806419563523873
jakes,159.0,0.0017951294412518488
gasher,159.0,0.0017951294412518488
never,156.0,0.0017612590744357762
made,155.0,0.0017499689521637519
side,155.0,0.0017499689521637519
door,154.0,0.0017386788298917278
us,151.0,0.001704808463075655
last,149.0,0.0016822282185316067
got,149.0,0.0016822282185316067
thats,148.0,0.0016709380962595824
thing,146.0,0.001648357851715534
toward,144.0,0.0016257776071714857
mind,143.0,0.0016144874848994615
another,143.0,0.0016144874848994615
hands,142.0,0.0016031973626274372
much,141.0,0.0015919072403554131
say,138.0,0.0015580368735393405
ticktock,138.0,0.0015580368735393405
city,137.0,0.0015467467512673163
tell,134.0,0.0015128763844512436
heard,133.0,0.0015015862621792194
across,132.0,0.001490296139907195
sure,132.0,0.001490296139907195
ill,131.0,0.001479006017635171
gone,131.0,0.001479006017635171
went,131.0,0.001479006017635171
feet,129.0,0.0014564257730911225
great,129.0,0.0014564257730911225
behind,126.0,0.0014225554062750499
sound,126.0,0.0014225554062750499
three,124.0,0.0013999751617310016
people,122.0,0.0013773949171869532
rolands,122.0,0.0013773949171869532
day,122.0,0.0013773949171869532
take,120.0,0.0013548146726429047
nodded,119.0,0.0013435245503708806
