Most common words,Absolute Frequency,Relative Frequency
said,1544.0,0.01171391938335015
roland,1438.0,0.010909725436047615
one,1171.0,0.008884067097087452
back,907.0,0.0068811689641830225
like,901.0,0.006835648552071558
susan,723.0,0.00548520965943145
could,647.0,0.004908617772686235
looked,642.0,0.004870684095926682
jonas,542.0,0.00411201056073561
time,539.0,0.0040892503546798775
eyes,525.0,0.0039830360597531275
thought,523.0,0.003967862589049306
ye,512.0,0.0038844085001782883
old,503.0,0.0038161278820110917
eddie,501.0,0.0038009544113072704
jake,499.0,0.0037857809406034487
know,491.0,0.0037250870577881633
well,481.0,0.003649219704269056
cuthbert,458.0,0.0034747247911751096
see,458.0,0.0034747247911751096
little,452.0,0.003429204379063645
way,447.0,0.0033912707023040917
face,421.0,0.003194015583154413
even,411.0,0.003118148229635306
come,405.0,0.0030726278175238412
still,404.0,0.0030650410821719304
dont,400.0,0.003034694140764288
hand,396.0,0.003004347199356645
saw,378.0,0.002867785963022252
right,375.0,0.0028450257569665196
alain,367.0,0.002784331874151234
didnt,362.0,0.0027463981973916804
good,359.0,0.0027236379913359483
voice,355.0,0.0026932910499283054
go,354.0,0.0026857043145763946
think,354.0,0.0026857043145763946
two,352.0,0.0026705308438725733
head,342.0,0.002594663490353466
around,332.0,0.0025187961368343587
hands,325.0,0.0024656889893709837
man,324.0,0.002458102254019073
away,324.0,0.002458102254019073
first,322.0,0.0024429287833152517
look,316.0,0.0023974083712037875
much,304.0,0.0023063675469808587
might,299.0,0.002268433870221305
made,297.0,0.0022532603995174838
never,295.0,0.002238086928813662
asked,295.0,0.002238086928813662
came,289.0,0.002192566516702198
susannah,287.0,0.0021773930459983762
long,286.0,0.002169806310646466
get,276.0,0.0020939389571273583
aye,276.0,0.0020939389571273583
put,271.0,0.002056005280367805
three,259.0,0.0019649644561448762
turned,255.0,0.0019346175147372333
went,254.0,0.0019270307793853227
felt,252.0,0.0019118573086815012
last,249.0,0.0018890971026257692
toward,248.0,0.0018815103672738583
looking,248.0,0.0018815103672738583
something,243.0,0.0018435766905143048
almost,243.0,0.0018435766905143048
say,238.0,0.0018056430137547512
mind,237.0,0.0017980562784028404
took,236.0,0.0017904695430509298
knew,235.0,0.001782882807699019
us,232.0,0.0017601226016432869
behind,230.0,0.0017449491309394654
enough,227.0,0.0017221889248837333
sheemie,227.0,0.0017221889248837333
blaine,223.0,0.0016918419834760904
men,220.0,0.0016690817774203583
side,220.0,0.0016690817774203583
left,219.0,0.0016614950420684475
yes,217.0,0.001646321571364626
rhea,217.0,0.001646321571364626
perhaps,215.0,0.0016311481006608046
end,213.0,0.0016159746299569831
gone,213.0,0.0016159746299569831
tell,205.0,0.0015552807471416975
thing,203.0,0.001540107276437876
place,201.0,0.0015249338057340546
got,201.0,0.0015249338057340546
nothing,200.0,0.001517347070382144
moment,198.0,0.0015021735996783225
thats,197.0,0.0014945868643264117
another,194.0,0.0014718266582706796
rolands,193.0,0.0014642399229187687
boys,193.0,0.0014642399229187687
day,192.0,0.0014566531875668581
young,191.0,0.0014490664522149473
began,191.0,0.0014490664522149473
depape,190.0,0.0014414797168630367
want,189.0,0.001433892981511126
yet,189.0,0.001433892981511126
im,189.0,0.001433892981511126
going,188.0,0.0014263062461592152
reynolds,188.0,0.0014263062461592152
