Most common words,Absolute Frequency,Relative Frequency
said,1058.0,0.010585186741503336
one,877.0,0.008774299406709287
like,826.0,0.008264049384198257
back,692.0,0.00692339246230653
could,589.0,0.0058928875148822925
little,505.0,0.005052475713099419
know,438.0,0.004382147252153555
didnt,427.0,0.004272093325729608
dont,424.0,0.004242078618523076
time,409.0,0.00409200508249042
right,397.0,0.003971946253664296
mattie,393.0,0.003931926644055587
way,389.0,0.003891907034446879
thought,380.0,0.0038018629128272856
looked,376.0,0.003761843303218577
think,368.0,0.0036818040840011605
old,349.0,0.0034917109383597964
see,345.0,0.003451691328751088
still,344.0,0.003441686426348911
id,343.0,0.003431681523946734
devore,337.0,0.0033716521095336714
got,324.0,0.0032415883783053698
even,321.0,0.0032115736710988385
go,318.0,0.0031815589638923072
get,317.0,0.0031715540614901303
around,310.0,0.003101519744674891
went,285.0,0.002851397184620464
something,283.0,0.00283138737981611
im,283.0,0.00283138737981611
going,273.0,0.002731338355794339
jo,273.0,0.002731338355794339
two,256.0,0.002561255014957329
good,255.0,0.002551250112555152
never,253.0,0.002531240307750798
much,253.0,0.002531240307750798
come,251.0,0.0025112305029464438
sara,251.0,0.0025112305029464438
hand,245.0,0.0024512010885333812
want,244.0,0.0024411961861312043
wasnt,241.0,0.002411181478924673
might,231.0,0.0023111324549029023
well,229.0,0.0022911226500985484
ki,228.0,0.0022811177476963714
eyes,226.0,0.002261107942892017
put,224.0,0.002241098138087663
first,223.0,0.002231093235685486
thats,222.0,0.002221088333283309
came,218.0,0.0021810687236746007
man,209.0,0.002091024602055007
john,208.0,0.00208101969965283
saw,207.0,0.002071014797250653
say,206.0,0.0020610098948484756
lake,204.0,0.0020410000900441217
away,202.0,0.0020209902852397674
maybe,201.0,0.0020109853828375905
asked,194.0,0.001940951066022351
almost,193.0,0.0019309461636201738
made,192.0,0.001920941261217997
head,192.0,0.001920941261217997
turned,188.0,0.0018809216516092885
mike,188.0,0.0018809216516092885
face,186.0,0.0018609118468049344
house,185.0,0.0018509069444027574
tell,184.0,0.0018409020420005803
kyra,184.0,0.0018409020420005803
long,180.0,0.001800882432391872
voice,180.0,0.001800882432391872
felt,180.0,0.001800882432391872
told,179.0,0.0017908775299896949
last,179.0,0.0017908775299896949
left,179.0,0.0017908775299896949
thing,177.0,0.0017708677251853408
yes,174.0,0.0017408530179788095
wanted,173.0,0.0017308481155766326
white,173.0,0.0017308481155766326
look,172.0,0.0017208432131744554
knew,172.0,0.0017208432131744554
take,171.0,0.0017108383107722785
nothing,166.0,0.001660813798761393
another,161.0,0.0016107892867505077
looking,160.0,0.0016007843843483308
people,160.0,0.0016007843843483308
enough,159.0,0.0015907794819461536
side,158.0,0.0015807745795439765
really,157.0,0.0015707696771417995
bill,156.0,0.0015607647747396224
water,156.0,0.0015607647747396224
sure,155.0,0.0015507598723374454
hands,147.0,0.0014707206531200288
called,144.0,0.0014407059459134975
took,144.0,0.0014407059459134975
seemed,143.0,0.0014307010435113206
youre,142.0,0.0014206961411091434
gone,141.0,0.0014106912387069665
behind,140.0,0.0014006863363047893
day,140.0,0.0014006863363047893
us,139.0,0.0013906814339026124
always,138.0,0.0013806765315004352
ill,137.0,0.0013706716290982583
let,136.0,0.001360666726696081
