Most common words,Absolute Frequency,Relative Frequency
jack,1595.0,0.012764901722261348
says,1190.0,0.009523657084320378
like,941.0,0.007530891862475191
one,874.0,0.006994685959408413
back,646.0,0.005169985274345349
dale,584.0,0.004673794737179077
little,488.0,0.0039054997118893654
right,465.0,0.0037214290287470387
know,447.0,0.003577373711505218
get,429.0,0.003433318394263397
hes,427.0,0.003417312247903195
old,421.0,0.0033692938088225877
henry,420.0,0.003361290735642487
dont,408.0,0.0032652538574812727
time,399.0,0.003193226198860362
eyes,383.0,0.003065177027978744
beezer,376.0,0.003009155515718036
see,369.0,0.002953134003457328
way,365.0,0.002921121710736923
man,359.0,0.002873103271656316
even,343.0,0.0027450541007746974
head,336.0,0.0026890325885139893
two,335.0,0.002681029515333888
go,332.0,0.002657020295793585
could,318.0,0.0025449772712721687
think,317.0,0.0025369741980920675
looks,314.0,0.002512964978551764
around,307.0,0.0024569434662910557
something,305.0,0.0024409373199308533
fred,305.0,0.0024409373199308533
going,298.0,0.002384915807670145
still,290.0,0.002320891222229336
black,287.0,0.0022968820026890327
wendell,281.0,0.002248863563608426
house,280.0,0.0022408604904283246
good,280.0,0.0022408604904283246
hand,277.0,0.002216851270888021
come,273.0,0.0021848389781676165
want,273.0,0.0021848389781676165
thinks,268.0,0.0021448236122671104
first,265.0,0.002120814392726807
say,265.0,0.002120814392726807
ty,265.0,0.002120814392726807
away,264.0,0.002112811319546706
side,257.0,0.002056789807285998
got,254.0,0.0020327805877456942
look,252.0,0.002016774441385492
thats,252.0,0.002016774441385492
door,249.0,0.0019927652218451886
im,248.0,0.0019847621486650873
never,240.0,0.001920737563224278
face,236.0,0.0018887252705038736
doesnt,231.0,0.0018487099046033677
well,229.0,0.0018327037582431653
judy,229.0,0.0018327037582431653
doc,229.0,0.0018327037582431653
voice,226.0,0.0018086945387028618
maybe,223.0,0.0017846853191625584
marshall,223.0,0.0017846853191625584
mr,221.0,0.0017686791728023562
place,218.0,0.0017446699532620525
sawyer,216.0,0.0017286638069018503
mouse,212.0,0.0016966515141814457
long,211.0,0.0016886484410013444
boy,210.0,0.0016806453678212434
world,207.0,0.0016566361482809398
said,207.0,0.0016566361482809398
room,206.0,0.0016486330751008388
road,204.0,0.0016326269287406363
another,204.0,0.0016326269287406363
knows,199.0,0.0015926115628401307
almost,199.0,0.0015926115628401307
take,198.0,0.0015846084896600295
much,198.0,0.0015846084896600295
us,197.0,0.0015766054164799283
might,196.0,0.001568602343299827
behind,196.0,0.001568602343299827
toward,194.0,0.0015525961969396248
left,186.0,0.0014885716114988155
people,186.0,0.0014885716114988155
front,183.0,0.001464562391958512
thing,183.0,0.001464562391958512
theres,182.0,0.0014565593187784109
fisherman,180.0,0.0014405531724182086
moment,175.0,0.0014005378065177028
french,174.0,0.0013925347333376015
comes,174.0,0.0013925347333376015
green,173.0,0.0013845316601575005
hands,171.0,0.001368525513797298
mind,170.0,0.001360522440617197
tell,168.0,0.0013445162942569947
cant,168.0,0.0013445162942569947
yes,167.0,0.0013365132210768934
things,165.0,0.0013205070747166912
youre,164.0,0.00131250400153659
looking,164.0,0.00131250400153659
last,161.0,0.0012884947819962866
sure,161.0,0.0012884947819962866
seems,160.0,0.0012804917088161854
sound,160.0,0.0012804917088161854
