Most common words,Absolute Frequency,Relative Frequency
carrie,340.0,0.011948271014900197
said,216.0,0.007590666291818949
like,210.0,0.007379814450379533
one,176.0,0.006184987348889514
momma,169.0,0.005938993533876863
white,149.0,0.005236154062412145
back,148.0,0.005201012088838909
could,145.0,0.005095586168119202
time,103.0,0.0036196232780432947
eyes,103.0,0.0036196232780432947
q,103.0,0.0036196232780432947
know,101.0,0.0035493393308968233
looked,99.0,0.0034790553837503514
going,96.0,0.0033736294630306437
dont,92.0,0.0032330615687377003
school,89.0,0.0031276356480179927
face,88.0,0.003092493674444757
go,88.0,0.003092493674444757
went,87.0,0.003057351700871521
little,87.0,0.003057351700871521
tommy,83.0,0.0029167838065785774
see,83.0,0.0029167838065785774
right,82.0,0.0028816418330053417
something,80.0,0.0028113578858588698
began,78.0,0.0027410739387123983
still,78.0,0.0027410739387123983
around,77.0,0.002705931965139162
came,77.0,0.002705931965139162
blood,76.0,0.0026707899915659264
get,74.0,0.0026005060444194545
think,72.0,0.002530222097272983
even,71.0,0.002495080123699747
thought,71.0,0.002495080123699747
sue,70.0,0.002459938150126511
street,69.0,0.0024247961765532754
miss,69.0,0.0024247961765532754
got,67.0,0.0023545122294068035
fire,67.0,0.0023545122294068035
im,66.0,0.0023193702558335677
made,66.0,0.0023193702558335677
first,65.0,0.0022842282822603316
way,64.0,0.002249086308687096
chamberlain,62.0,0.002178802361540624
mind,62.0,0.002178802361540624
head,60.0,0.0021085184143941524
didnt,60.0,0.0021085184143941524
hand,58.0,0.0020382344672476805
yes,58.0,0.0020382344672476805
two,57.0,0.002003092493674445
felt,57.0,0.002003092493674445
desjardin,54.0,0.0018976665729547371
good,54.0,0.0018976665729547371
knew,53.0,0.0018625245993815012
hands,53.0,0.0018625245993815012
well,53.0,0.0018625245993815012
suddenly,53.0,0.0018625245993815012
high,52.0,0.0018273826258082655
chris,52.0,0.0018273826258082655
god,51.0,0.0017922406522350295
never,50.0,0.0017570986786617936
thats,50.0,0.0017570986786617936
want,50.0,0.0017570986786617936
fell,49.0,0.0017219567050885578
black,49.0,0.0017219567050885578
night,49.0,0.0017219567050885578
light,48.0,0.0016868147315153219
saw,48.0,0.0016868147315153219
mr,48.0,0.0016868147315153219
girls,47.0,0.0016516727579420861
girl,47.0,0.0016516727579420861
door,47.0,0.0016516727579420861
put,47.0,0.0016516727579420861
come,47.0,0.0016516727579420861
seemed,46.0,0.0016165307843688502
looking,46.0,0.0016165307843688502
course,45.0,0.0015813888107956142
take,45.0,0.0015813888107956142
almost,45.0,0.0015813888107956142
mrs,44.0,0.0015462468372223785
let,44.0,0.0015462468372223785
may,43.0,0.0015111048636491425
town,42.0,0.0014759628900759066
margaret,42.0,0.0014759628900759066
people,42.0,0.0014759628900759066
prom,42.0,0.0014759628900759066
billy,41.0,0.0014408209165026708
gone,41.0,0.0014408209165026708
say,41.0,0.0014408209165026708
started,41.0,0.0014408209165026708
might,40.0,0.0014056789429294349
away,40.0,0.0014056789429294349
long,40.0,0.0014056789429294349
across,40.0,0.0014056789429294349
car,40.0,0.0014056789429294349
place,39.0,0.0013705369693561991
carries,39.0,0.0013705369693561991
floor,39.0,0.0013705369693561991
always,38.0,0.0013353949957829632
feet,38.0,0.0013353949957829632
look,38.0,0.0013353949957829632
