Most Common Words,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
said,said,0.010585186741503336,0.0016566361482809398,0.007590666291818949,0.010060717639729606,0.00807153740114634,0.014661081492764662,0.012438383931450685,0.010801786504188012,0.0146577063020368,0.010747745034319864,0.006251017418199577,0.010893321769297484,0.008512811781731506,0.009881278982252543,0.010112182019276347,0.01170699159128648
one,one,0.008774299406709287,0.006994685959408413,0.006184987348889514,0.008038346025458637,0.007998984255967496,0.006422949987306423,0.008952565224735493,0.01018821078466346,0.00748423519662303,0.009495426660114452,0.008269575126159856,0.006626192541196878,0.009789733548991231,0.006409478258758407,0.007640566101618401,0.00887881292318424
like,like,0.008264049384198257,0.007530891862475191,0.007379814450379533,0.00772685430555943,0.007726909961546833,0.007336887534907337,0.005912071374825325,0.00590744995077125,0.007341801654818785,0.008734524356799772,0.00866026371479733,0.006348655680832611,0.010130246020260492,0.007769064556070795,0.008340292982416541,0.0068316058443970975
back,back,0.00692339246230653,0.005169985274345349,0.005201012088838909,0.007062028694431272,0.0069651019371689766,0.005915206905305915,0.005236406074845288,0.0054222970562634665,0.006163487808983672,0.006103070557836501,0.008139345596614032,0.0058282740676496095,0.007576402485741041,0.0070649930806768796,0.00519152201882491,0.006877099335036812
could,could,0.0058928875148822925,0.0025449772712721687,0.005095586168119202,0.005909044417789432,0.007291591090473772,0.004049251078954049,0.004929285483945271,0.005636335097958077,0.004052881689520776,0.006800564335874958,0.006804492918769331,0.00388551604509974,0.006639993189750575,0.005656850129889048,0.004977089587612577,0.004905714740649192
roland,roland,1.0004902402177066e-05,3.2012292720404635e-05,0.0,0.0,0.0,0.0,0.008891141106555488,0.012649648264151481,0.0,0.007371241063360969,0.0,0.0023590633130962705,0.020941516983059506,0.0,0.011421348441414802,0.010903273256651528
looked,looked,0.003761843303218577,0.00039215058582495676,0.0034790553837503514,0.004556147544794369,0.004371326997025321,0.004391977659304392,0.0037315151794352053,0.003531627687961074,0.0035349415375053412,0.005326316123202765,0.00462314829887677,0.005065047701647875,0.005022558951221588,0.0031925999660103424,0.005112520596799314,0.004867803498449431
eddie,eddie,1.0004902402177066e-05,0.0,3.514197357323587e-05,0.0048072005727728346,3.627657258942175e-05,0.0,0.010396032001965571,0.004651760106162869,0.0,0.01781779560261877,6.511476477291226e-05,0.0,0.0,1.2139163368860618e-05,0.012482224680044242,0.003798706468416144
time,time,0.00409200508249042,0.003193226198860362,0.0036196232780432947,0.0035147423916985134,0.004824784154393093,0.002944909875602945,0.004207552095330231,0.004501933476976641,0.0038845511401157597,0.004882456446269201,0.003711541592055999,0.003712055507372073,0.002979484123606027,0.0032654349462235065,0.00402907252330542,0.004086831909134335
thought,thought,0.0038018629128272856,0.0010243933670529483,0.002495080123699747,0.003877374543222963,0.005260103025466154,0.00277989337395278,0.00327083429308518,0.004138068806095804,0.0031076409120926077,0.005500689567712379,0.004558033534103858,0.002636600173460538,0.005533327658125479,0.002804146738206803,0.004356364128840033,0.003965515934095097
know,know,0.004382147252153555,0.003577373711505218,0.0035493393308968233,0.002980092424707337,0.0037002104041210186,0.0034653465346534654,0.004253620183965234,0.0036101083032490976,0.003845705628714602,0.004375188244059414,0.0021162298551196486,0.003712055507372073,0.002809227887971397,0.0031319041491660394,0.003408347064532876,0.00372288398401662
little,little,0.005052475713099419,0.0039054997118893654,0.003057351700871521,0.003282285884311045,0.0029928172386272946,0.0028560548362528563,0.0033629704703551848,0.0030179363878940083,0.0034831475223037977,0.0035984338094256774,0.006609148624450594,0.0018733738074588032,0.004256405890865753,0.0037024448275024885,0.0031713427984560866,0.003427176294858477
