Most common words,Absolute Frequency,Relative Frequency
said,2164.0,0.010060717639729606
bill,1850.0,0.008600890773336308
one,1729.0,0.008038346025458637
like,1662.0,0.00772685430555943
back,1519.0,0.007062028694431272
could,1271.0,0.005909044417789432
richie,1264.0,0.005876500506755186
ben,1154.0,0.0053650961905027566
eddie,1034.0,0.0048072005727728346
looked,980.0,0.004556147544794369
thought,834.0,0.003877374543222963
time,756.0,0.0035147423916985134
eyes,743.0,0.0034543036997777715
henry,735.0,0.0034171106585957766
got,726.0,0.0033752684872660325
little,706.0,0.003282285884311045
way,695.0,0.0032311454526858024
get,692.0,0.0032171980622425545
mike,689.0,0.0032032506717993062
right,682.0,0.003170706760765061
see,680.0,0.003161408500469562
around,657.0,0.003054478507071327
beverly,656.0,0.0030498293769235774
know,641.0,0.002980092424707337
saw,632.0,0.002938250253377593
something,627.0,0.002915004602638846
dont,623.0,0.002896408082047849
face,606.0,0.0028173728695361096
still,601.0,0.002794127218797363
go,587.0,0.002729039396728872
think,584.0,0.002715092006285624
come,576.0,0.002677898965103629
didnt,576.0,0.002677898965103629
going,573.0,0.0026639515746603813
away,563.0,0.0026174602731828876
hand,557.0,0.0025895654922963914
derry,555.0,0.0025802672320008927
even,554.0,0.002575618101853143
went,553.0,0.002570968971705394
head,544.0,0.00252912680037565
felt,539.0,0.002505881149636903
two,532.0,0.0024733372386026575
came,523.0,0.002431495067272913
voice,501.0,0.0023292142040224274
old,486.0,0.002259477251806187
good,482.0,0.0022408807312151897
almost,478.0,0.0022222842106241923
first,466.0,0.0021664946488512
big,452.0,0.002101406826782709
might,452.0,0.002101406826782709
well,439.0,0.0020409681348619673
never,429.0,0.0019944768333844736
maybe,426.0,0.0019805294429412258
hands,410.0,0.001906143360577236
look,410.0,0.001906143360577236
looking,409.0,0.0019014942304294866
made,406.0,0.0018875468399862385
want,402.0,0.0018689503193952412
really,399.0,0.0018550029289519931
much,395.0,0.0018364064083609957
street,393.0,0.001827108148065497
seemed,393.0,0.001827108148065497
day,385.0,0.001789915106883502
turned,383.0,0.0017806168465880033
moment,374.0,0.0017387746752582593
stan,373.0,0.0017341255451105099
began,372.0,0.0017294764149627605
last,370.0,0.0017201781546672618
im,370.0,0.0017201781546672618
left,362.0,0.0016829851134852669
man,352.0,0.0016364938120077735
long,347.0,0.0016132481612690266
asked,347.0,0.0016132481612690266
gone,345.0,0.001603949900973528
told,342.0,0.0015900025105302798
put,342.0,0.0015900025105302798
suddenly,340.0,0.001580704250234781
knew,338.0,0.0015714059899392824
say,337.0,0.001566756859791533
toward,336.0,0.0015621077296437836
mr,330.0,0.0015342129487572874
water,329.0,0.001529563818609538
thing,328.0,0.0015249146884617887
thats,328.0,0.0015249146884617887
door,326.0,0.0015156164281662902
side,325.0,0.0015109672980185408
years,323.0,0.001501669037723042
things,323.0,0.001501669037723042
sure,318.0,0.0014784233869842953
three,314.0,0.0014598268663932978
tell,313.0,0.0014551777362455485
sound,313.0,0.0014551777362455485
heard,306.0,0.001422633825211303
enough,302.0,0.0014040373046203054
wasnt,302.0,0.0014040373046203054
white,296.0,0.0013761425237338095
took,291.0,0.0013528968729950627
feet,289.0,0.001343598612699564
behind,285.0,0.0013250020921085665
ill,285.0,0.0013250020921085665
