Most common words,Absolute Frequency,Relative Frequency
paul,558.0,0.010121163752448668
annie,507.0,0.009196111151418414
said,445.0,0.00807153740114634
one,441.0,0.007998984255967496
like,426.0,0.007726909961546833
could,402.0,0.007291591090473772
back,384.0,0.0069651019371689766
thought,290.0,0.005260103025466154
time,266.0,0.004824784154393093
looked,241.0,0.004371326997025321
even,218.0,0.003954146412246971
right,206.0,0.00373648697671044
know,204.0,0.0037002104041210186
get,202.0,0.003663933831531597
way,189.0,0.0034281361097003556
came,184.0,0.0033374446782268013
might,183.0,0.0033193063919320902
going,181.0,0.0032830298193426686
dont,177.0,0.003210476674163825
didnt,169.0,0.003065370383806138
eyes,169.0,0.003065370383806138
first,168.0,0.0030472320975114273
see,167.0,0.0030290938112167163
little,165.0,0.0029928172386272946
good,158.0,0.0028658492345643182
two,158.0,0.0028658492345643182
think,155.0,0.0028114343756801856
door,155.0,0.0028114343756801856
face,153.0,0.002775157803090764
pain,149.0,0.0027026046579119206
hand,149.0,0.0027026046579119206
something,149.0,0.0027026046579119206
away,145.0,0.002630051512733077
got,145.0,0.002630051512733077
go,144.0,0.0026119132264383663
still,142.0,0.0025756366538489442
misery,142.0,0.0025756366538489442
im,141.0,0.0025574983675542336
well,139.0,0.0025212217949648116
put,138.0,0.002503083508670101
come,137.0,0.00248494522237539
saw,137.0,0.00248494522237539
yes,136.0,0.002466806936080679
almost,130.0,0.002357977218312414
want,130.0,0.002357977218312414
left,130.0,0.002357977218312414
long,129.0,0.002339838932017703
began,127.0,0.0023035623594282813
around,125.0,0.0022672857868388597
old,124.0,0.0022491475005441486
ill,123.0,0.0022310092142494376
never,120.0,0.002176594355365305
knew,119.0,0.0021584560690705943
book,118.0,0.0021403177827758833
look,117.0,0.0021221794964811727
mind,116.0,0.0021040412101864616
much,116.0,0.0021040412101864616
went,110.0,0.0019952114924181963
enough,108.0,0.0019589349198287746
geoffrey,108.0,0.0019589349198287746
heard,106.0,0.0019226583472393528
really,105.0,0.001904520060944642
wilkes,104.0,0.0018863817746499311
maybe,104.0,0.0018863817746499311
things,103.0,0.00186824348835522
made,101.0,0.0018319669157657985
last,99.0,0.0017956903431763766
looking,99.0,0.0017956903431763766
turned,99.0,0.0017956903431763766
seemed,98.0,0.0017775520568816658
moment,96.0,0.0017412754842922441
make,94.0,0.0017049989117028223
felt,94.0,0.0017049989117028223
gone,93.0,0.0016868606254081115
youre,93.0,0.0016868606254081115
three,93.0,0.0016868606254081115
oh,92.0,0.0016687223391134006
sure,92.0,0.0016687223391134006
another,91.0,0.0016505840528186896
man,91.0,0.0016505840528186896
room,91.0,0.0016505840528186896
wasnt,90.0,0.0016324457665239788
legs,90.0,0.0016324457665239788
say,90.0,0.0016324457665239788
thats,89.0,0.001614307480229268
paper,89.0,0.001614307480229268
side,87.0,0.0015780309076398461
take,87.0,0.0015780309076398461
mouth,86.0,0.0015598926213451353
must,85.0,0.0015417543350504245
head,83.0,0.0015054777624610026
dead,82.0,0.0014873394761662918
day,81.0,0.001469201189871581
car,81.0,0.001469201189871581
always,80.0,0.0014510629035768702
nothing,80.0,0.0014510629035768702
life,79.0,0.0014329246172821591
god,78.0,0.0014147863309874483
annies,78.0,0.0014147863309874483
thing,77.0,0.0013966480446927375
