Most common words,Absolute Frequency,Relative Frequency
said,1155.0,0.014661081492764662
ben,680.0,0.008631632394008631
like,578.0,0.007336887534907337
one,506.0,0.006422949987306423
back,466.0,0.005915206905305915
looked,346.0,0.004391977659304392
could,319.0,0.004049251078954049
mark,308.0,0.00390962173140391
matt,300.0,0.003808073115003808
got,297.0,0.00376999238385377
eyes,295.0,0.0037446052297537445
house,280.0,0.003554201574003554
know,273.0,0.0034653465346534654
dont,271.0,0.00343995938055344
went,263.0,0.0033384107641533383
jimmy,262.0,0.0033257171871033256
around,261.0,0.003313023610053313
town,254.0,0.003224168570703224
see,245.0,0.00310992637725311
go,237.0,0.003008377760853008
think,236.0,0.0029956841838029956
going,234.0,0.0029702970297029703
time,232.0,0.002944909875602945
old,225.0,0.0028560548362528563
little,225.0,0.0028560548362528563
face,222.0,0.002817974105102818
come,220.0,0.0027925869510027927
thought,219.0,0.00277989337395278
right,218.0,0.002767199796902767
man,216.0,0.0027418126428027417
something,215.0,0.002729119065752729
door,214.0,0.0027164254887027165
lot,211.0,0.002678344757552678
away,208.0,0.0026402640264026403
im,207.0,0.0026275704493526277
get,205.0,0.002602183295252602
still,203.0,0.0025767961411525767
yes,199.0,0.0025260218329525262
two,195.0,0.0024752475247524753
hand,193.0,0.00244986037065245
well,185.0,0.002348311754252348
good,175.0,0.0022213759837522214
even,175.0,0.0022213759837522214
susan,175.0,0.0022213759837522214
asked,172.0,0.002183295252602183
boy,167.0,0.00211982736735212
way,165.0,0.0020944402132520943
came,164.0,0.0020817466362020817
night,161.0,0.002043665905052044
turned,159.0,0.002018278750952018
callahan,158.0,0.0020055851739020055
first,156.0,0.0019801980198019802
seemed,155.0,0.0019675044427519676
put,154.0,0.001954810865701955
hands,152.0,0.0019294237116019295
room,152.0,0.0019294237116019295
left,151.0,0.0019167301345519167
took,150.0,0.001904036557501904
thats,150.0,0.001904036557501904
father,145.0,0.0018405686722518407
look,145.0,0.0018405686722518407
saw,143.0,0.0018151815181518152
almost,142.0,0.0018024879411018026
head,142.0,0.0018024879411018026
made,140.0,0.001777100787001777
mr,139.0,0.0017644072099517645
felt,136.0,0.0017263264788017264
didnt,133.0,0.0016882457476516883
want,132.0,0.0016755521706016757
began,131.0,0.0016628585935516628
never,131.0,0.0016628585935516628
gone,131.0,0.0016628585935516628
new,129.0,0.0016374714394516376
light,127.0,0.001612084285351612
might,126.0,0.0015993907083015995
window,126.0,0.0015993907083015995
looking,125.0,0.0015866971312515866
years,124.0,0.001574003554201574
small,123.0,0.0015613099771515614
dark,123.0,0.0015613099771515614
last,122.0,0.0015486164001015485
open,122.0,0.0015486164001015485
parkins,122.0,0.0015486164001015485
let,122.0,0.0015486164001015485
marsten,121.0,0.0015359228230515359
day,117.0,0.0014851485148514852
long,116.0,0.0014724549378014725
told,116.0,0.0014724549378014725
hes,116.0,0.0014724549378014725
mike,116.0,0.0014724549378014725
dead,115.0,0.0014597613607514597
three,114.0,0.001447067783701447
behind,111.0,0.001408987052551409
car,111.0,0.001408987052551409
straker,111.0,0.001408987052551409
nothing,110.0,0.0013962934755013963
much,109.0,0.0013835998984513835
things,108.0,0.0013709063214013709
road,107.0,0.0013582127443513582
people,106.0,0.0013455191673013456
