Most common words,Absolute Frequency,Relative Frequency
said,810.0,0.012438383931450685
eddie,677.0,0.010396032001965571
one,583.0,0.008952565224735493
roland,579.0,0.008891141106555488
susannah,477.0,0.007324826092965403
like,385.0,0.005912071374825325
mia,380.0,0.005835291227100321
back,341.0,0.005236406074845288
could,321.0,0.004929285483945271
jake,297.0,0.004560740774865251
right,288.0,0.004422536508960243
know,277.0,0.004253620183965234
time,274.0,0.004207552095330231
looked,243.0,0.0037315151794352053
callahan,232.0,0.003562598854440196
dont,232.0,0.003562598854440196
little,219.0,0.0033629704703551848
go,215.0,0.0033015463521751816
thought,213.0,0.00327083429308518
tower,208.0,0.0031940541453601757
man,196.0,0.0030097817908201654
think,190.0,0.0029176456135501603
way,186.0,0.002856221495370157
king,185.0,0.0028408654658251564
eyes,181.0,0.002779441347645153
got,181.0,0.002779441347645153
even,179.0,0.0027487292885551512
didnt,176.0,0.0027026611999201484
get,175.0,0.0026873051703751477
something,175.0,0.0026873051703751477
well,173.0,0.002656593111285146
still,171.0,0.0026258810521951445
see,171.0,0.0026258810521951445
im,171.0,0.0026258810521951445
say,170.0,0.0026105250226501437
head,166.0,0.00254910090447014
might,163.0,0.002503032815835138
first,156.0,0.002395540609020132
saw,155.0,0.002380184579475131
two,149.0,0.002288048402205126
woman,149.0,0.002288048402205126
made,148.0,0.002272692372660125
door,147.0,0.002257336343115124
come,147.0,0.002257336343115124
hand,145.0,0.0022266242840251224
voice,141.0,0.0021652001658451193
yes,141.0,0.0021652001658451193
long,140.0,0.002149844136300118
came,139.0,0.0021344881067551173
around,133.0,0.002042351929485112
going,130.0,0.0019962838408501098
knew,129.0,0.001980927811305109
much,128.0,0.001965571781760108
side,128.0,0.001965571781760108
asked,125.0,0.0019195036931251056
never,124.0,0.0019041476635801046
old,123.0,0.0018887916340351038
tell,123.0,0.0018887916340351038
good,123.0,0.0018887916340351038
another,122.0,0.001873435604490103
new,121.0,0.0018580795749451023
thing,118.0,0.0018120114863100997
went,118.0,0.0018120114863100997
want,118.0,0.0018120114863100997
world,113.0,0.0017352313385850953
almost,112.0,0.0017198753090400946
look,109.0,0.001673807220405092
thats,109.0,0.001673807220405092
felt,108.0,0.0016584511908600912
maybe,107.0,0.0016430951613150904
dark,105.0,0.0016123831022250886
behind,105.0,0.0016123831022250886
hed,103.0,0.001581671043135087
youre,103.0,0.001581671043135087
seemed,103.0,0.001581671043135087
also,102.0,0.001566315013590086
last,101.0,0.0015509589840450853
left,100.0,0.0015356029545000845
put,99.0,0.0015202469249550837
nodded,99.0,0.0015202469249550837
wasnt,99.0,0.0015202469249550837
face,98.0,0.0015048908954100827
hands,97.0,0.001489534865865082
least,97.0,0.001489534865865082
name,97.0,0.001489534865865082
sure,96.0,0.0014741788363200811
turned,96.0,0.0014741788363200811
black,94.0,0.0014434667772300794
us,94.0,0.0014434667772300794
john,94.0,0.0014434667772300794
hear,93.0,0.0014281107476850786
moment,93.0,0.0014281107476850786
took,92.0,0.0014127547181400778
enough,92.0,0.0014127547181400778
gone,91.0,0.0013973986885950768
feel,89.0,0.0013666866295050752
shed,87.0,0.0013359745704150734
make,86.0,0.0013206185408700727
away,86.0,0.0013206185408700727
ill,85.0,0.0013052625113250719
