Most common words,Absolute Frequency,Relative Frequency
roland,1773.0,0.012649648264151481
said,1514.0,0.010801786504188012
one,1428.0,0.01018821078466346
like,828.0,0.00590744995077125
susannah,812.0,0.005793296328534125
could,790.0,0.005636335097958077
back,760.0,0.0054222970562634665
jake,740.0,0.005279605028467059
eddie,652.0,0.004651760106162869
time,631.0,0.004501933476976641
thought,580.0,0.004138068806095804
know,506.0,0.0036101083032490976
looked,495.0,0.003531627687961074
eyes,484.0,0.0034531470726730496
even,471.0,0.003360397254605385
see,467.0,0.003331858849046104
still,446.0,0.0031820322198598764
well,444.0,0.0031677630170802358
didnt,443.0,0.003160628415690415
head,436.0,0.0031106862059616727
old,433.0,0.003089282401792212
go,425.0,0.003032205590673649
little,423.0,0.0030179363878940083
might,423.0,0.0030179363878940083
way,421.0,0.0030036671851143676
come,416.0,0.002967994178165266
two,407.0,0.0029037827656568827
man,389.0,0.0027753599406401164
right,381.0,0.002718283129521554
dont,373.0,0.0026612063184029908
say,371.0,0.00264693711562335
never,371.0,0.00264693711562335
first,362.0,0.002582725703114967
made,351.0,0.002504245087826943
oy,348.0,0.002482841283657482
good,348.0,0.002482841283657482
asked,346.0,0.0024685720808778414
think,342.0,0.00244003367531856
long,321.0,0.0022902070461323326
around,314.0,0.00224026483640359
saw,313.0,0.0022331302350137696
something,312.0,0.0022259956336239495
tower,298.0,0.0021261112141664645
hand,297.0,0.0021189766127766444
came,297.0,0.0021189766127766444
enough,293.0,0.0020904382072173626
side,292.0,0.0020833036058275425
thing,290.0,0.002069034403047902
die,289.0,0.0020618998016580813
door,288.0,0.002054765200268261
look,288.0,0.002054765200268261
face,286.0,0.00204049599748862
patrick,286.0,0.00204049599748862
hed,282.0,0.002011957591929339
king,280.0,0.001997688389149698
last,279.0,0.0019905537877598777
ted,275.0,0.0019620153822005964
much,274.0,0.0019548807808107763
voice,274.0,0.0019548807808107763
knew,273.0,0.0019477461794209557
almost,267.0,0.0019049385710820336
get,265.0,0.001890669368302393
dark,263.0,0.0018764001655227523
another,257.0,0.00183359255718383
turned,251.0,0.001790784948844908
yes,250.0,0.0017836503474550876
left,246.0,0.0017551119418958063
away,241.0,0.0017194389349467045
hands,241.0,0.0017194389349467045
put,240.0,0.0017123043335568841
three,239.0,0.0017051697321670638
tell,236.0,0.0016837659279976029
gunslinger,236.0,0.0016837659279976029
least,236.0,0.0016837659279976029
looking,236.0,0.0016837659279976029
end,231.0,0.001648092921048501
sure,229.0,0.0016338237182688604
told,227.0,0.0016195545154892197
make,226.0,0.0016124199140993992
got,221.0,0.0015767469071502976
gone,218.0,0.0015553431029808364
world,215.0,0.0015339392988113754
us,214.0,0.001526804697421555
behind,214.0,0.001526804697421555
moment,210.0,0.0014982662918622735
place,210.0,0.0014982662918622735
took,209.0,0.0014911316904724532
called,208.0,0.001483997089082633
wasnt,208.0,0.001483997089082633
im,208.0,0.001483997089082633
hes,208.0,0.001483997089082633
boy,206.0,0.0014697278863029923
going,206.0,0.0014697278863029923
nodded,205.0,0.001462593284913172
mordred,205.0,0.001462593284913172
want,204.0,0.0014554586835233516
take,203.0,0.0014483240821335313
also,200.0,0.00142692027796407
may,199.0,0.0014197856765742498
mind,196.0,0.0013983818724047888
