Most common words,Absolute Frequency,Relative Frequency
johnny,1385.0,0.017933677763534425
said,1132.0,0.0146577063020368
one,578.0,0.00748423519662303
like,567.0,0.007341801654818785
back,476.0,0.006163487808983672
dont,329.0,0.00426005775032695
could,313.0,0.004052881689520776
right,302.0,0.003910448147716531
man,302.0,0.003910448147716531
time,300.0,0.0038845511401157597
know,297.0,0.003845705628714602
going,283.0,0.0036644265755092
sarah,276.0,0.003573787048906499
looked,273.0,0.0035349415375053412
little,269.0,0.0034831475223037977
get,265.0,0.003431353507102254
im,260.0,0.003366610988100325
got,254.0,0.00328891996529801
way,248.0,0.0032112289424956948
good,247.0,0.0031982804386953088
think,241.0,0.0031205894158929937
two,240.0,0.0031076409120926077
thought,240.0,0.0031076409120926077
go,238.0,0.003081743904491836
eyes,235.0,0.0030428983930906785
come,234.0,0.0030299498892902925
see,228.0,0.0029522588664879774
came,218.0,0.0028227738284841188
greg,218.0,0.0028227738284841188
yes,216.0,0.0027968768208833468
went,214.0,0.002770979813282575
something,214.0,0.002770979813282575
stillson,210.0,0.0027191857980810316
face,206.0,0.002667391782879488
want,206.0,0.002667391782879488
around,205.0,0.0026544432790791025
well,205.0,0.0026544432790791025
didnt,202.0,0.002615597767677945
asked,201.0,0.002602649263877559
still,188.0,0.0024343187144725427
hand,182.0,0.0023566276916702276
put,181.0,0.0023436791878698416
away,176.0,0.0022789366688679125
smith,175.0,0.0022659881650675265
people,174.0,0.0022530396612671405
thats,173.0,0.0022400911574667545
herb,172.0,0.002227142653666369
head,171.0,0.002214194149865983
never,169.0,0.0021882971422652114
long,164.0,0.002123554623263282
old,163.0,0.002110606119462896
new,162.0,0.0020976576156625103
god,162.0,0.0020976576156625103
voice,161.0,0.0020847091118621243
bannerman,161.0,0.0020847091118621243
began,159.0,0.0020588121042613527
years,151.0,0.0019552240738582656
say,151.0,0.0019552240738582656
chuck,147.0,0.0019034300586567223
made,144.0,0.0018645845472555647
seemed,143.0,0.0018516360434551787
tell,143.0,0.0018516360434551787
youre,143.0,0.0018516360434551787
johnnys,140.0,0.0018127905320540212
turned,139.0,0.0017998420282536354
much,139.0,0.0017998420282536354
maybe,139.0,0.0017998420282536354
felt,137.0,0.0017739450206528636
thing,136.0,0.0017609965168524776
nothing,135.0,0.0017480480130520918
told,132.0,0.0017092025016509343
first,129.0,0.0016703569902497767
hands,128.0,0.0016574084864493907
sure,127.0,0.001644459982649005
vera,127.0,0.001644459982649005
might,127.0,0.001644459982649005
hes,126.0,0.001631511478848619
things,126.0,0.001631511478848619
looking,125.0,0.0016185629750482332
weizak,125.0,0.0016185629750482332
house,124.0,0.0016056144712478474
really,123.0,0.0015926659674474614
mother,121.0,0.0015667689598466896
almost,121.0,0.0015667689598466896
left,121.0,0.0015667689598466896
even,119.0,0.001540871952245918
look,118.0,0.001527923448445532
last,117.0,0.0015149749446451463
town,115.0,0.0014890779370443745
gone,114.0,0.0014761294332439887
saw,112.0,0.001450232425643217
behind,112.0,0.001450232425643217
room,111.0,0.0014372839218428312
ill,110.0,0.0014243354180424452
three,109.0,0.0014113869142420594
guy,108.0,0.0013984384104416734
night,107.0,0.0013854899066412876
another,107.0,0.0013854899066412876
wasnt,107.0,0.0013854899066412876
mr,106.0,0.0013725414028409018
