Most common words,Absolute Frequency,Relative Frequency
eddie,1124.0,0.01781779560261877
said,678.0,0.010747745034319864
one,599.0,0.009495426660114452
like,551.0,0.008734524356799772
gunslinger,469.0,0.007434649588637193
roland,465.0,0.007371241063360969
could,429.0,0.006800564335874958
back,385.0,0.006103070557836501
thought,347.0,0.005500689567712379
looked,336.0,0.005326316123202765
man,327.0,0.005183646941331262
time,308.0,0.004882456446269201
right,290.0,0.004597118082526196
know,276.0,0.004375188244059414
dont,255.0,0.004042293486359241
eyes,246.0,0.0038996243044877384
saw,237.0,0.003756955122616236
door,229.0,0.003630138072063789
didnt,228.0,0.003614285940744733
little,227.0,0.0035984338094256774
see,224.0,0.00355087741546851
something,219.0,0.0034716167588732306
way,210.0,0.0033289475770017277
might,203.0,0.003217982657768337
get,201.0,0.0031862783951302253
still,198.0,0.003138722001173058
go,197.0,0.0031228698698540017
two,194.0,0.003075313475896834
going,192.0,0.003043609213258723
got,191.0,0.0030277570819396667
hand,190.0,0.003011904950620611
think,189.0,0.002996052819301555
first,183.0,0.00290094003138722
come,181.0,0.002869235768749108
henry,181.0,0.002869235768749108
even,180.0,0.0028533836374300525
want,179.0,0.0028375315061109968
voice,173.0,0.0027424187181966614
head,171.0,0.00271071445555855
left,164.0,0.002599749536325159
im,163.0,0.0025838974050061032
thing,161.0,0.0025521931423679914
knew,161.0,0.0025521931423679914
around,160.0,0.0025363410110489353
well,160.0,0.0025363410110489353
away,144.0,0.002282706909944042
asked,144.0,0.002282706909944042
long,143.0,0.002266854778624986
good,143.0,0.002266854778624986
face,143.0,0.002266854778624986
nothing,141.0,0.0022351505159868743
world,139.0,0.002203446253348763
made,139.0,0.002203446253348763
enough,138.0,0.002187594122029707
really,136.0,0.002155889859391595
gun,135.0,0.0021400377280725393
moment,135.0,0.0021400377280725393
came,134.0,0.0021241855967534837
maybe,134.0,0.0021241855967534837
gone,133.0,0.0021083334654344275
never,133.0,0.0021083334654344275
look,133.0,0.0021083334654344275
woman,132.0,0.002092481334115372
things,131.0,0.002076629202796316
felt,130.0,0.00206077707147726
detta,128.0,0.0020290728088391483
balazar,126.0,0.001997368546201037
last,122.0,0.0019339600209248133
jack,121.0,0.0019181078896057574
much,120.0,0.0019022557582867017
thats,120.0,0.0019022557582867017
take,120.0,0.0019022557582867017
odetta,120.0,0.0019022557582867017
another,118.0,0.00187055149564859
went,118.0,0.00187055149564859
mind,116.0,0.0018388472330104783
looking,115.0,0.0018229951016914224
almost,115.0,0.0018229951016914224
three,112.0,0.001775438707734255
yes,112.0,0.001775438707734255
turned,112.0,0.001775438707734255
wasnt,110.0,0.0017437344450961431
put,106.0,0.0016803259198199198
eddies,106.0,0.0016803259198199198
place,105.0,0.0016644737885008639
youre,105.0,0.0016644737885008639
seemed,104.0,0.0016486216571818082
hands,103.0,0.0016327695258627523
heard,101.0,0.0016010652632246405
black,99.0,0.001569361000586529
make,99.0,0.001569361000586529
body,98.0,0.001553508869267473
white,97.0,0.001537656737948417
say,97.0,0.001537656737948417
seen,96.0,0.0015218046066293614
took,95.0,0.0015059524753103055
people,93.0,0.0014742482126721937
toward,92.0,0.001458396081353138
better,89.0,0.0014108396873959703
suddenly,88.0,0.0013949875560769146
