Most common words,Absolute Frequency,Relative Frequency
trisha,476.0,0.015497314015953117
like,266.0,0.00866026371479733
one,254.0,0.008269575126159856
back,250.0,0.008139345596614032
could,209.0,0.006804492918769331
little,203.0,0.006609148624450594
said,192.0,0.006251017418199577
looked,142.0,0.00462314829887677
thought,140.0,0.004558033534103858
still,136.0,0.004427804004558033
woods,133.0,0.004330131857398665
didnt,128.0,0.004167344945466385
around,127.0,0.004134787563079928
right,120.0,0.0039068858863747355
way,117.0,0.003809213739215367
got,114.0,0.003711541592055999
even,114.0,0.003711541592055999
time,114.0,0.003711541592055999
tom,108.0,0.003516197297737262
eyes,106.0,0.0034510825329643496
something,102.0,0.0033208530034185254
stream,102.0,0.0033208530034185254
head,99.0,0.003223180856259157
water,98.0,0.0031906234738727007
away,94.0,0.003060393944326876
wasnt,90.0,0.002930164414781052
first,88.0,0.0028650496500081395
saw,88.0,0.0028650496500081395
came,86.0,0.002799934885235227
thing,86.0,0.002799934885235227
get,84.0,0.002734820120462315
see,82.0,0.0026697053556894025
come,81.0,0.0026371479733029463
voice,81.0,0.0026371479733029463
trees,80.0,0.00260459059091649
felt,79.0,0.002572033208530034
two,77.0,0.002506918443757122
gordon,76.0,0.002474361061370666
lost,76.0,0.002474361061370666
gone,76.0,0.002474361061370666
side,76.0,0.002474361061370666
go,75.0,0.0024418036789842098
seemed,74.0,0.0024092462965977536
pack,74.0,0.0024092462965977536
made,72.0,0.0023441315318248413
hand,72.0,0.0023441315318248413
face,71.0,0.002311574149438385
looking,70.0,0.002279016767051929
began,70.0,0.002279016767051929
might,70.0,0.002279016767051929
couldnt,69.0,0.0022464593846654728
tree,68.0,0.0022139020022790166
going,68.0,0.0022139020022790166
almost,67.0,0.0021813446198925605
god,67.0,0.0021813446198925605
last,66.0,0.0021487872375061047
know,65.0,0.0021162298551196486
turned,65.0,0.0021162298551196486
feet,65.0,0.0021162298551196486
old,64.0,0.0020836724727331924
red,64.0,0.0020836724727331924
went,63.0,0.0020511150903467362
dont,63.0,0.0020511150903467362
another,63.0,0.0020511150903467362
put,61.0,0.001986000325573824
nothing,60.0,0.0019534429431873677
left,60.0,0.0019534429431873677
sound,59.0,0.0019208855608009116
three,59.0,0.0019208855608009116
much,58.0,0.0018883281784144554
knew,57.0,0.0018557707960279995
long,57.0,0.0018557707960279995
maybe,55.0,0.0017906560312550871
shed,55.0,0.0017906560312550871
think,54.0,0.001758098648868631
pete,54.0,0.001758098648868631
mother,54.0,0.001758098648868631
sox,53.0,0.0017255412664821748
mom,53.0,0.0017255412664821748
never,53.0,0.0017255412664821748
sure,53.0,0.0017255412664821748
wanted,52.0,0.0016929838840957186
took,51.0,0.0016604265017092627
big,51.0,0.0016604265017092627
behind,50.0,0.0016278691193228065
bushes,50.0,0.0016278691193228065
road,50.0,0.0016278691193228065
good,49.0,0.0015953117369363503
top,49.0,0.0015953117369363503
cold,49.0,0.0015953117369363503
well,48.0,0.0015627543545498942
least,48.0,0.0015627543545498942
black,48.0,0.0015627543545498942
toward,48.0,0.0015627543545498942
hands,48.0,0.0015627543545498942
place,47.0,0.001530196972163438
stood,47.0,0.001530196972163438
started,46.0,0.0014976395897769819
mouth,45.0,0.001465082207390526
walked,45.0,0.001465082207390526
