Most common words,Absolute Frequency,Relative Frequency
gunslinger,540.0,0.01873373807458803
said,314.0,0.010893321769297484
boy,268.0,0.009297484822202948
man,239.0,0.00829141370338248
c,221.0,0.007666955767562879
one,191.0,0.006626192541196878
black,185.0,0.006418039895923678
like,183.0,0.006348655680832611
back,168.0,0.0058282740676496095
looked,146.0,0.005065047701647875
jake,131.0,0.0045446660884648745
face,125.0,0.004336513443191674
eyes,116.0,0.004024284475281873
could,112.0,0.00388551604509974
know,107.0,0.003712055507372073
time,107.0,0.003712055507372073
light,92.0,0.003191673894189072
head,90.0,0.003122289679098005
dont,88.0,0.0030529054640069386
way,87.0,0.003018213356461405
made,85.0,0.002948829141370338
come,84.0,0.0029141370338248047
cort,84.0,0.0029141370338248047
went,83.0,0.0028794449262792713
seemed,81.0,0.0028100607111882048
hands,80.0,0.0027753686036426713
came,77.0,0.0026712922810060713
go,77.0,0.0026712922810060713
thought,76.0,0.002636600173460538
even,75.0,0.0026019080659150044
away,73.0,0.0025325238508239374
felt,73.0,0.0025325238508239374
see,72.0,0.0024978317432784044
hand,71.0,0.002463139635732871
began,68.0,0.0023590633130962705
roland,68.0,0.0023590633130962705
still,67.0,0.002324371205550737
might,65.0,0.0022549869904596705
perhaps,65.0,0.0022549869904596705
boys,65.0,0.0022549869904596705
two,64.0,0.002220294882914137
almost,63.0,0.0021856027753686036
right,63.0,0.0021856027753686036
cuthbert,63.0,0.0021856027753686036
yes,62.0,0.00215091066782307
around,61.0,0.002116218560277537
three,61.0,0.002116218560277537
asked,61.0,0.002116218560277537
turned,61.0,0.002116218560277537
first,61.0,0.002116218560277537
desert,59.0,0.00204683434518647
stood,59.0,0.00204683434518647
last,59.0,0.00204683434518647
saw,57.0,0.001977450130095403
never,57.0,0.001977450130095403
yet,56.0,0.00194275802254987
left,56.0,0.00194275802254987
dark,55.0,0.0019080659150043364
long,55.0,0.0019080659150043364
sound,55.0,0.0019080659150043364
father,55.0,0.0019080659150043364
little,54.0,0.0018733738074588032
water,54.0,0.0018733738074588032
old,54.0,0.0018733738074588032
gone,54.0,0.0018733738074588032
brown,53.0,0.0018386816999132697
think,53.0,0.0018386816999132697
world,52.0,0.0018039895923677364
fire,52.0,0.0018039895923677364
moment,52.0,0.0018039895923677364
mind,49.0,0.0016999132697311362
held,48.0,0.0016652211621856028
nothing,47.0,0.0016305290546400693
huge,46.0,0.001595836947094536
walked,46.0,0.001595836947094536
im,46.0,0.001595836947094536
voice,45.0,0.0015611448395490026
toward,44.0,0.0015264527320034693
dead,43.0,0.0014917606244579358
knew,43.0,0.0014917606244579358
put,43.0,0.0014917606244579358
place,43.0,0.0014917606244579358
across,42.0,0.0014570685169124024
moved,42.0,0.0014570685169124024
didnt,42.0,0.0014570685169124024
sat,42.0,0.0014570685169124024
going,42.0,0.0014570685169124024
fell,42.0,0.0014570685169124024
years,41.0,0.0014223764093668691
nodded,41.0,0.0014223764093668691
sleep,41.0,0.0014223764093668691
make,40.0,0.0013876843018213356
gunslingers,40.0,0.0013876843018213356
end,40.0,0.0013876843018213356
got,40.0,0.0013876843018213356
let,40.0,0.0013876843018213356
side,39.0,0.0013529921942758022
behind,39.0,0.0013529921942758022
wind,39.0,0.0013529921942758022
day,39.0,0.0013529921942758022
