Most common words,Absolute Frequency,Relative Frequency
roland,246.0,0.020941516983059506
like,119.0,0.010130246020260492
one,115.0,0.009789733548991231
sister,104.0,0.008853324253000765
said,100.0,0.008512811781731506
back,89.0,0.007576402485741041
could,78.0,0.006639993189750575
thought,65.0,0.005533327658125479
ye,63.0,0.005363071422490848
jenna,60.0,0.005107687069038904
looked,59.0,0.005022558951221588
bells,55.0,0.004682046479952328
eyes,55.0,0.004682046479952328
still,52.0,0.004426662126500383
hand,52.0,0.004426662126500383
well,50.0,0.004256405890865753
little,50.0,0.004256405890865753
saw,48.0,0.004086149655231123
way,46.0,0.003915893419596493
perhaps,45.0,0.0038307653017791775
head,45.0,0.0038307653017791775
dark,44.0,0.0037456371839618627
mary,43.0,0.0036605090661445475
man,41.0,0.0034902528305099175
sisters,41.0,0.0034902528305099175
around,39.0,0.0033199965948752875
might,39.0,0.0033199965948752875
away,38.0,0.0032348684770579722
see,37.0,0.003149740359240657
seemed,35.0,0.002979484123606027
time,35.0,0.002979484123606027
know,33.0,0.002809227887971397
gunslinger,32.0,0.002724099770154082
long,32.0,0.002724099770154082
side,31.0,0.002638971652336767
face,31.0,0.002638971652336767
medallion,31.0,0.002638971652336767
norman,31.0,0.002638971652336767
came,29.0,0.0024687154167021366
wasnt,29.0,0.0024687154167021366
think,29.0,0.0024687154167021366
took,29.0,0.0024687154167021366
white,28.0,0.002383587298884822
voice,28.0,0.002383587298884822
bed,28.0,0.002383587298884822
didnt,27.0,0.0022984591810675066
never,27.0,0.0022984591810675066
go,27.0,0.0022984591810675066
two,26.0,0.0022133310632501913
beneath,26.0,0.0022133310632501913
black,26.0,0.0022133310632501913
last,25.0,0.0021282029454328766
sound,25.0,0.0021282029454328766
far,25.0,0.0021282029454328766
empty,25.0,0.0021282029454328766
green,25.0,0.0021282029454328766
made,25.0,0.0021282029454328766
turned,25.0,0.0021282029454328766
bugs,25.0,0.0021282029454328766
hands,25.0,0.0021282029454328766
good,24.0,0.0020430748276155613
rolands,24.0,0.0020430748276155613
john,24.0,0.0020430748276155613
fingers,23.0,0.0019579467097982466
singing,23.0,0.0019579467097982466
knew,23.0,0.0019579467097982466
yet,23.0,0.0019579467097982466
nothing,23.0,0.0019579467097982466
coquina,23.0,0.0019579467097982466
low,22.0,0.0018728185919809313
others,22.0,0.0018728185919809313
old,22.0,0.0018728185919809313
first,22.0,0.0018728185919809313
dont,22.0,0.0018728185919809313
heard,21.0,0.0017876904741636163
dead,21.0,0.0017876904741636163
end,21.0,0.0017876904741636163
come,21.0,0.0017876904741636163
place,21.0,0.0017876904741636163
louise,21.0,0.0017876904741636163
even,20.0,0.0017025623563463011
done,20.0,0.0017025623563463011
moment,20.0,0.0017025623563463011
least,20.0,0.0017025623563463011
left,20.0,0.0017025623563463011
boy,20.0,0.0017025623563463011
get,20.0,0.0017025623563463011
skin,20.0,0.0017025623563463011
tried,20.0,0.0017025623563463011
put,20.0,0.0017025623563463011
felt,20.0,0.0017025623563463011
stood,19.0,0.0016174342385289861
neck,19.0,0.0016174342385289861
lay,19.0,0.0016174342385289861
went,19.0,0.0016174342385289861
thing,19.0,0.0016174342385289861
almost,19.0,0.0016174342385289861
enough,19.0,0.0016174342385289861
eluria,19.0,0.0016174342385289861
began,19.0,0.0016174342385289861
