Most common words,Absolute Frequency,Relative Frequency
danny,909.0,0.011034499502294301
said,814.0,0.009881278982252543
jack,749.0,0.009092233363276603
like,640.0,0.007769064556070795
back,582.0,0.0070649930806768796
one,528.0,0.006409478258758407
could,466.0,0.005656850129889048
wendy,359.0,0.004357959649420962
hallorann,335.0,0.004066619728568307
get,319.0,0.003872393114666537
right,317.0,0.003848114787928816
around,314.0,0.003811697297822234
little,305.0,0.0037024448275024885
dont,292.0,0.0035446357037073003
come,291.0,0.0035324965403384398
daddy,287.0,0.0034839398868629972
time,269.0,0.0032654349462235065
looked,263.0,0.0031925999660103424
way,259.0,0.0031440433125349
know,258.0,0.0031319041491660394
see,248.0,0.0030105125154774332
hand,246.0,0.002986234188739712
go,246.0,0.002986234188739712
still,241.0,0.002925538371895409
door,240.0,0.002913399208526548
didnt,237.0,0.0028769817184199666
two,235.0,0.002852703391682245
thought,231.0,0.002804146738206803
got,231.0,0.002804146738206803
face,220.0,0.002670615941149336
came,215.0,0.002609920124305033
went,213.0,0.0025856417975673117
going,203.0,0.0024642501638787056
head,202.0,0.0024521110005098446
things,201.0,0.002439971837140984
even,200.0,0.0024278326737721236
eyes,199.0,0.002415693510403263
something,197.0,0.0023914151836655416
think,195.0,0.0023671368569278205
hotel,188.0,0.0022821627133457964
away,185.0,0.0022457452232392144
overlook,181.0,0.002197188569763772
began,179.0,0.002172910243026051
ullman,177.0,0.0021486319162883293
turned,173.0,0.0021000752628128868
room,172.0,0.0020879360994440262
boy,171.0,0.0020757969360751657
never,170.0,0.002063657772706305
man,169.0,0.0020515186093374447
long,169.0,0.0020515186093374447
old,169.0,0.0020515186093374447
seemed,166.0,0.0020151011192308626
put,165.0,0.002002961955862002
want,165.0,0.002002961955862002
snow,165.0,0.002002961955862002
hands,164.0,0.0019908227924931416
might,163.0,0.0019786836291242806
voice,161.0,0.0019544053023865596
bad,160.0,0.0019422661390176988
behind,159.0,0.0019301269756488383
mr,158.0,0.0019179878122799776
three,155.0,0.0018815703221733958
im,154.0,0.0018694311588045352
yes,153.0,0.0018572919954356745
thing,152.0,0.001845152832066814
good,149.0,0.0018087353419602322
much,149.0,0.0018087353419602322
almost,149.0,0.0018087353419602322
made,148.0,0.0017965961785913714
take,144.0,0.001748039525115929
well,143.0,0.0017359003617470684
first,142.0,0.0017237611983782078
looking,141.0,0.001711622035009347
sound,139.0,0.0016873437082716258
last,135.0,0.0016387870547961835
left,135.0,0.0016387870547961835
dannys,135.0,0.0016387870547961835
saw,134.0,0.0016266478914273227
felt,131.0,0.001590230401320741
son,130.0,0.0015780912379518804
sure,128.0,0.0015538129112141592
tony,128.0,0.0015538129112141592
torrance,127.0,0.0015416737478452984
asked,127.0,0.0015416737478452984
floor,126.0,0.0015295345844764379
ill,126.0,0.0015295345844764379
oh,126.0,0.0015295345844764379
place,124.0,0.0015052562577387166
thats,122.0,0.0014809779310009953
nothing,121.0,0.0014688387676321348
knew,119.0,0.0014445604408944135
mind,118.0,0.001432421277525553
gone,118.0,0.001432421277525553
another,117.0,0.0014202821141566923
father,117.0,0.0014202821141566923
let,117.0,0.0014202821141566923
maybe,116.0,0.0014081429507878317
small,113.0,0.00137172546068125
side,112.0,0.0013595862973123892
moment,111.0,0.0013474471339435287
