Most common words,Absolute Frequency,Relative Frequency
jake,1138.0,0.012843374037875539
eddie,1106.0,0.012482224680044242
roland,1012.0,0.011421348441414802
said,896.0,0.010112182019276347
like,739.0,0.008340292982416541
one,677.0,0.007640566101618401
susannah,530.0,0.005981536239080875
back,460.0,0.00519152201882491
looked,453.0,0.005112520596799314
could,441.0,0.004977089587612577
thought,386.0,0.004356364128840033
time,357.0,0.00402907252330542
eyes,342.0,0.0038597837618219986
voice,329.0,0.0037130668352030336
old,325.0,0.0036679231654741214
right,325.0,0.0036679231654741214
know,302.0,0.003408347064532876
see,298.0,0.0033632033948039638
hand,282.0,0.0031826287158883146
dont,282.0,0.0031826287158883146
little,281.0,0.0031713427984560866
still,276.0,0.0031149132112949464
around,269.0,0.0030359117892693496
man,266.0,0.0030020540369726655
blaine,261.0,0.0029456244498115253
head,257.0,0.002900480780082613
way,254.0,0.0028666230277859285
saw,251.0,0.0028327652754892444
didnt,248.0,0.0027989075231925602
go,248.0,0.0027989075231925602
face,247.0,0.002787621605760332
something,247.0,0.002787621605760332
come,243.0,0.00274247793603142
long,243.0,0.00274247793603142
asked,240.0,0.002708620183734736
began,238.0,0.00268604834887028
think,234.0,0.0026409046791413676
well,231.0,0.002607046926844683
might,219.0,0.0024716159176579465
look,217.0,0.0024490440827934904
two,216.0,0.0024377581653612624
even,213.0,0.002403900413064578
left,200.0,0.0022571834864456132
im,198.0,0.002234611651581157
gunslinger,195.0,0.002200753899284473
came,194.0,0.002189467981852245
away,189.0,0.0021330383946911043
world,188.0,0.0021217524772588763
going,186.0,0.00209918064239442
oy,182.0,0.002054036972665508
almost,181.0,0.00204275105523328
good,181.0,0.00204275105523328
get,178.0,0.002008893302936596
looking,178.0,0.002008893302936596
seemed,176.0,0.0019863214680721397
felt,172.0,0.0019411777983432273
moment,171.0,0.0019298918809109993
place,168.0,0.0018960341286143152
boy,168.0,0.0018960341286143152
turned,165.0,0.0018621763763176308
first,164.0,0.0018508904588854028
knew,163.0,0.0018396045414531747
yes,162.0,0.0018283186240209467
want,160.0,0.0018057467891564906
jakes,159.0,0.0017944608717242625
gasher,159.0,0.0017944608717242625
never,156.0,0.0017606031194275782
made,155.0,0.0017493172019953501
side,155.0,0.0017493172019953501
door,154.0,0.001738031284563122
us,151.0,0.001704173532266438
last,149.0,0.0016816016974019819
got,149.0,0.0016816016974019819
thats,148.0,0.0016703157799697538
thing,146.0,0.0016477439451052975
toward,144.0,0.0016251721102408414
mind,143.0,0.0016138861928086134
another,143.0,0.0016138861928086134
hands,142.0,0.0016026002753763854
much,141.0,0.0015913143579441573
say,138.0,0.0015574566056474732
ticktock,138.0,0.0015574566056474732
city,137.0,0.001546170688215245
tell,134.0,0.0015123129359185608
heard,133.0,0.0015010270184863327
across,132.0,0.0014897411010541047
sure,132.0,0.0014897411010541047
ill,131.0,0.0014784551836218766
gone,131.0,0.0014784551836218766
went,131.0,0.0014784551836218766
feet,129.0,0.0014558833487574206
great,129.0,0.0014558833487574206
behind,126.0,0.0014220255964607362
sound,126.0,0.0014220255964607362
three,124.0,0.0013994537615962801
people,122.0,0.001376881926731824
rolands,122.0,0.001376881926731824
day,122.0,0.001376881926731824
take,120.0,0.001354310091867368
nodded,119.0,0.00134302417443514
