Most common words,Absolute Frequency,Relative Frequency
said,1544.0,0.01170699159128648
roland,1438.0,0.010903273256651528
one,1171.0,0.00887881292318424
back,907.0,0.006877099335036812
like,901.0,0.0068316058443970975
susan,723.0,0.005481965622085573
could,647.0,0.004905714740649192
looked,642.0,0.004867803498449431
jonas,542.0,0.004109578654454192
time,539.0,0.004086831909134335
eyes,525.0,0.003980680430975002
thought,523.0,0.003965515934095097
ye,512.0,0.0038821112012556204
old,503.0,0.003813870965296049
eddie,501.0,0.003798706468416144
jake,499.0,0.0037835419715362396
know,491.0,0.00372288398401662
well,481.0,0.0036470614996170964
cuthbert,458.0,0.0034726697854981915
see,458.0,0.0034726697854981915
little,452.0,0.003427176294858477
way,447.0,0.0033892650526587153
face,421.0,0.0031921265932199536
even,411.0,0.0031163041088204295
come,405.0,0.003070810618180715
still,404.0,0.003063228369740763
dont,400.0,0.0030328993759809533
hand,396.0,0.003002570382221144
saw,378.0,0.002866089910302001
right,375.0,0.0028433431649821437
alain,367.0,0.0027826851774625247
didnt,362.0,0.002744773935262763
good,359.0,0.0027220271899429057
voice,355.0,0.002691698196183096
go,354.0,0.002684115947743144
think,354.0,0.002684115947743144
two,352.0,0.002668951450863239
head,342.0,0.002593128966463715
around,332.0,0.0025173064820641915
hands,325.0,0.0024642307429845246
man,324.0,0.002456648494544572
away,324.0,0.002456648494544572
first,322.0,0.0024414839976646674
look,316.0,0.002395990507024953
much,304.0,0.0023050035257455247
might,299.0,0.0022670922835457625
made,297.0,0.002251927786665858
never,295.0,0.002236763289785953
asked,295.0,0.002236763289785953
came,289.0,0.002191269799146239
susannah,287.0,0.002176105302266334
long,286.0,0.0021685230538263816
get,276.0,0.002092700569426858
aye,276.0,0.002092700569426858
put,271.0,0.002054789327227096
three,259.0,0.0019638023459476674
turned,255.0,0.0019334733521878579
went,254.0,0.0019258911037479053
felt,252.0,0.0019107266068680007
last,249.0,0.0018879798615481435
toward,248.0,0.0018803976131081912
looking,248.0,0.0018803976131081912
something,243.0,0.0018424863709084291
almost,243.0,0.0018424863709084291
say,238.0,0.0018045751287086673
mind,237.0,0.001796992880268715
took,236.0,0.0017894106318287624
knew,235.0,0.0017818283833888101
us,232.0,0.001759081638068953
behind,230.0,0.0017439171411890483
enough,227.0,0.0017211703958691911
sheemie,227.0,0.0017211703958691911
blaine,223.0,0.0016908414021093816
men,220.0,0.0016680946567895244
side,220.0,0.0016680946567895244
left,219.0,0.0016605124083495719
yes,217.0,0.0016453479114696672
rhea,217.0,0.0016453479114696672
perhaps,215.0,0.0016301834145897624
end,213.0,0.0016150189177098577
gone,213.0,0.0016150189177098577
tell,205.0,0.0015543609301902387
thing,203.0,0.0015391964333103338
place,201.0,0.001524031936430429
got,201.0,0.001524031936430429
nothing,200.0,0.0015164496879904767
moment,198.0,0.001501285191110572
thats,197.0,0.0014937029426706195
another,194.0,0.0014709561973507623
rolands,193.0,0.00146337394891081
boys,193.0,0.00146337394891081
day,192.0,0.0014557917004708576
young,191.0,0.0014482094520309053
began,191.0,0.0014482094520309053
depape,190.0,0.0014406272035909528
want,189.0,0.0014330449551510005
yet,189.0,0.0014330449551510005
im,189.0,0.0014330449551510005
going,188.0,0.0014254627067110481
reynolds,188.0,0.0014254627067110481
